Date,Value
195001,-0.060
195002,0.627
195003,-0.008
195004,0.555
195005,0.072
195006,0.539
195007,-0.802
195008,-0.851
195009,0.358
195010,-0.379
195011,-0.515
195012,-1.928
195101,-0.085
195102,-0.400
195103,-1.934
195104,-0.776
195105,-0.863
195106,-0.918
195107,0.090
195108,-0.377
195109,-0.818
195110,-0.213
195111,-0.069
195112,1.987
195201,0.368
195202,-1.747
195203,-1.859
195204,0.539
195205,-0.774
195206,-0.441
195207,0.383
195208,-0.030
195209,-0.383
195210,-0.437
195211,-1.891
195212,-1.827
195301,-1.036
195302,-0.249
195303,1.068
195304,-1.256
195305,-0.562
195306,0.023
195307,0.333
195308,0.085
195309,0.662
195310,-0.194
195311,0.354
195312,0.575
195401,-0.148
195402,-0.181
195403,0.476
195404,0.512
195405,-1.656
195406,-0.268
195407,0.341
195408,-0.122
195409,0.301
195410,0.513
195411,-0.328
195412,0.553
195501,-1.163
195502,-1.542
195503,-1.568
195504,0.194
195505,0.242
195506,-0.266
195507,0.332
195508,0.760
195509,0.357
195510,0.099
195511,-1.342
195512,-0.444
195601,-1.204
195602,-2.029
195603,0.470
195604,-0.868
195605,1.391
195606,0.280
195607,-0.215
195608,-0.652
195609,-0.202
195610,1.139
195611,-0.066
195612,0.001
195701,2.062
195702,-1.513
195703,-2.013
195704,0.238
195705,-0.966
195706,-0.760
195707,-0.646
195708,0.097
195709,-0.956
195710,0.903
195711,-1.380
195712,0.828
195801,-1.438
195802,-2.228
195803,-2.522
195804,-0.360
195805,-0.336
195806,-1.149
195807,-0.684
195808,-0.755
195809,-0.012
195810,0.770
195811,-0.011
195812,-1.687
195901,-2.013
195902,2.544
195903,1.432
195904,0.119
195905,-0.341
195906,-0.033
195907,0.105
195908,-0.745
195909,-0.281
195910,-0.249
195911,-1.411
195912,-0.042
196001,-2.484
196002,-2.212
196003,-1.625
196004,-0.297
196005,-0.857
196006,0.055
196007,-0.619
196008,-1.008
196009,-0.382
196010,-1.187
196011,-0.553
196012,-0.343
196101,-1.506
196102,0.621
196103,0.341
196104,-0.237
196105,0.157
196106,0.837
196107,-0.108
196108,0.013
196109,0.815
196110,0.203
196111,-0.010
196112,-1.668
196201,1.645
196202,-0.358
196203,-2.848
196204,1.169
196205,0.068
196206,0.287
196207,-0.927
196208,0.152
196209,-0.056
196210,-0.016
196211,-1.112
196212,-0.711
196301,-3.311
196302,-1.721
196303,0.724
196304,-0.348
196305,0.771
196306,-0.585
196307,-0.303
196308,-0.625
196309,0.083
196310,1.069
196311,-0.419
196312,-1.178
