,Temperature_C
1995-01-01,
1995-02-01,
1995-03-01,-28.94
1995-04-01,
1995-05-01,-0.01
1995-06-01,7.07
1995-07-01,10.17
1995-08-01,6.85
1995-09-01,4.21
1995-10-01,-6.96
1995-11-01,-18.08
1995-12-01,-28.53
1996-01-01,-27.3
1996-02-01,-25.03
1996-03-01,-23.23
1996-04-01,
1996-05-01,-4.9
1996-06-01,6.43
1996-07-01,9.73
1996-08-01,5.15
1996-09-01,-1.91
1996-10-01,-13.69
1996-11-01,-19.46
1996-12-01,-25.1
1997-01-01,-28.09
1997-02-01,-26.91
1997-03-01,-26.55
1997-04-01,-15.72
1997-05-01,-6.55
1997-06-01,6.58
1997-07-01,9.33
1997-08-01,
1997-09-01,
1997-10-01,-8.52
1997-11-01,-14.68
1997-12-01,-24.47
1998-01-01,-29.76
1998-02-01,-24.77
1998-03-01,-18.52
1998-04-01,-7.15
1998-05-01,-0.48
1998-06-01,5.88
1998-07-01,12.94
1998-08-01,11.93
1998-09-01,
1998-10-01,-4.68
1998-11-01,-12.84
1998-12-01,-19.22
1999-01-01,-27.45
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,-4.03
1999-06-01,
1999-07-01,6.95
1999-08-01,9.3
1999-09-01,2.63
1999-10-01,-9.07
1999-11-01,
1999-12-01,-25.26
2000-01-01,-24.73
2000-02-01,-26.39
2000-03-01,-26.17
2000-04-01,-16.57
2000-05-01,-9.18
2000-06-01,6.67
2000-07-01,9.99
2000-08-01,5.86
2000-09-01,0.93
2000-10-01,-8.22
2000-11-01,-18.79
2000-12-01,-26.62
2001-01-01,-23.65
2001-02-01,-23.36
2001-03-01,-26.88
2001-04-01,-14.57
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,4.37
2001-10-01,-7.31
2001-11-01,-17.29
2001-12-01,-21.81
2002-01-01,-26.12
2002-02-01,-30.02
2002-03-01,-23.29
2002-04-01,-16.88
2002-05-01,-3.97
2002-06-01,4.8
2002-07-01,8.44
2002-08-01,5.98
2002-09-01,4.32
2002-10-01,-6.09
2002-11-01,-15.04
2002-12-01,-16.07
2003-01-01,-27.41
2003-02-01,-28.11
2003-03-01,-25.19
2003-04-01,-13.08
2003-05-01,-4.55
2003-06-01,3.13
2003-07-01,10.03
2003-08-01,6.31
2003-09-01,1.4
2003-10-01,-3.38
2003-11-01,-19.26
2003-12-01,-25.01
2004-01-01,-28.3
2004-02-01,-31.74
2004-03-01,-29.62
2004-04-01,-17.17
2004-05-01,-8.58
2004-06-01,6.46
2004-07-01,10.01
2004-08-01,7.69
2004-09-01,1.1
2004-10-01,-8.64
2004-11-01,-21.37
2004-12-01,-29.11
2005-01-01,-23.68
2005-02-01,-26.71
2005-03-01,-23.41
2005-04-01,-14.15
2005-05-01,-3.28
2005-06-01,4.05
2005-07-01,5.82
2005-08-01,7.2
2005-09-01,1.36
2005-10-01,-5.77
2005-11-01,-20.67
2005-12-01,-19.11
2006-01-01,-27.06
2006-02-01,-18.81
2006-03-01,-25.84
2006-04-01,-17.71
2006-05-01,-1.77
2006-06-01,6.74
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,-29.57
2007-03-01,-28.02
2007-04-01,-13.18
2007-05-01,-6.16
2007-06-01,5.41
2007-07-01,11.04
2007-08-01,8.17
2007-09-01,2.17
2007-10-01,-7.95
2007-11-01,-17.27
2007-12-01,-23.06
2008-01-01,-25.73
2008-02-01,-26.59
2008-03-01,-27.76
2008-04-01,-14.36
2008-05-01,-2.33
2008-06-01,6.3
2008-07-01,10.3
2008-08-01,5.18
2008-09-01,0.95
2008-10-01,-8.07
2008-11-01,-15.52
2008-12-01,-24.25
2009-01-01,-25.58
2009-02-01,-25.93
2009-03-01,-29.9
2009-04-01,-14.51
2009-05-01,-3.21
2009-06-01,3.47
2009-07-01,6.88
2009-08-01,7.9
2009-09-01,3.13
2009-10-01,-6.0
2009-11-01,-18.19
2009-12-01,-21.57
2010-01-01,-27.22
2010-02-01,-24.16
2010-03-01,-20.61
2010-04-01,
2010-05-01,-3.77
2010-06-01,5.07
2010-07-01,10.56
2010-08-01,10.22
2010-09-01,2.59
2010-10-01,-5.65
2010-11-01,-14.46
2010-12-01,-26.39
2011-01-01,-26.01
2011-02-01,-23.43
2011-03-01,-21.2
2011-04-01,-18.99
2011-05-01,-2.56
2011-06-01,4.1
2011-07-01,11.19
2011-08-01,9.41
2011-09-01,3.49
2011-10-01,-4.8
2011-11-01,-20.07
2011-12-01,-24.1
2012-01-01,-28.05
2012-02-01,-23.2
2012-03-01,-29.43
2012-04-01,-14.42
2012-05-01,-2.24
2012-06-01,8.59
2012-07-01,13.87
2012-08-01,11.48
2012-09-01,6.12
2012-10-01,-3.17
2012-11-01,-16.09
2012-12-01,-26.54
2013-01-01,-30.1
