,Temperature_C
1995-01-01,-24.97
1995-02-01,
1995-03-01,
1995-04-01,-2.82
1995-05-01,6.71
1995-06-01,
1995-07-01,15.6
1995-08-01,11.98
1995-09-01,
1995-10-01,-5.15
1995-11-01,-20.06
1995-12-01,-29.13
1996-01-01,-31.59
1996-02-01,-26.11
1996-03-01,
1996-04-01,-10.1
1996-05-01,3.8
1996-06-01,15.14
1996-07-01,16.7
1996-08-01,9.81
1996-09-01,3.16
1996-10-01,
1996-11-01,-20.76
1996-12-01,-25.0
1997-01-01,-29.76
1997-02-01,-23.96
1997-03-01,-24.42
1997-04-01,
1997-05-01,2.91
1997-06-01,14.23
1997-07-01,
1997-08-01,
1997-09-01,7.82
1997-10-01,-7.01
1997-11-01,-15.01
1997-12-01,-24.48
1998-01-01,
1998-02-01,
1998-03-01,-15.36
1998-04-01,-0.21
1998-05-01,
1998-06-01,15.64
1998-07-01,
1998-08-01,
1998-09-01,6.96
1998-10-01,-4.89
1998-11-01,-16.04
1998-12-01,
1999-01-01,-31.64
1999-02-01,-25.83
1999-03-01,-20.04
1999-04-01,-7.5
1999-05-01,5.02
1999-06-01,15.23
1999-07-01,13.1
1999-08-01,13.39
1999-09-01,5.65
1999-10-01,-7.56
1999-11-01,-21.93
1999-12-01,-27.26
2000-01-01,-27.39
2000-02-01,-23.77
2000-03-01,-21.09
2000-04-01,-10.59
2000-05-01,
2000-06-01,
2000-07-01,15.96
2000-08-01,10.42
2000-09-01,3.91
2000-10-01,-7.49
2000-11-01,-19.04
2000-12-01,-29.76
2001-01-01,-20.85
2001-02-01,-23.35
2001-03-01,-23.15
2001-04-01,-7.6
2001-05-01,2.94
2001-06-01,14.3
2001-07-01,
2001-08-01,13.36
2001-09-01,7.09
2001-10-01,-4.7
2001-11-01,-17.3
2001-12-01,-24.66
2002-01-01,-26.01
2002-02-01,-28.11
2002-03-01,-19.83
2002-04-01,-9.67
2002-05-01,2.99
2002-06-01,13.4
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,-1.19
2003-11-01,-17.82
2003-12-01,-23.08
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,-8.14
2004-05-01,1.59
2004-06-01,15.34
2004-07-01,16.49
2004-08-01,12.65
2004-09-01,3.43
2004-10-01,-6.55
2004-11-01,-21.96
2004-12-01,-29.9
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,13.18
2005-07-01,13.04
2005-08-01,12.04
2005-09-01,5.79
2005-10-01,-4.18
2005-11-01,-21.99
2005-12-01,-18.77
2006-01-01,-29.42
2006-02-01,-19.12
2006-03-01,-22.86
2006-04-01,-9.32
