,Temperature_C
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,-5.22
1998-11-01,
1998-12-01,-19.67
1999-01-01,-26.81
1999-02-01,-23.96
1999-03-01,-23.92
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,10.12
1999-08-01,10.93
1999-09-01,3.84
1999-10-01,-9.86
1999-11-01,-19.8
1999-12-01,-25.91
2000-01-01,-22.54
2000-02-01,-23.97
2000-03-01,-24.48
2000-04-01,-15.38
2000-05-01,-6.65
2000-06-01,10.21
2000-07-01,12.49
2000-08-01,7.37
2000-09-01,2.34
2000-10-01,-8.6
2000-11-01,-18.04
2000-12-01,-26.3
2001-01-01,-20.96
2001-02-01,-21.5
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,12.19
2001-08-01,10.44
2001-09-01,5.43
2001-10-01,-7.28
2001-11-01,-18.21
2001-12-01,-21.49
2002-01-01,-25.09
2002-02-01,-27.41
2002-03-01,-18.56
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,7.64
2002-09-01,5.64
2002-10-01,-5.6
2002-11-01,-14.31
2002-12-01,-15.53
2003-01-01,-26.1
2003-02-01,-25.48
2003-03-01,-23.86
2003-04-01,-9.84
2003-05-01,-2.08
2003-06-01,7.61
2003-07-01,13.02
2003-08-01,8.8
2003-09-01,2.56
2003-10-01,-2.74
2003-11-01,-17.17
2003-12-01,-26.09
2004-01-01,-28.5
2004-02-01,-30.28
2004-03-01,-26.88
2004-04-01,-14.16
2004-05-01,-4.87
2004-06-01,10.85
2004-07-01,13.53
2004-08-01,10.23
2004-09-01,1.89
2004-10-01,-8.29
2004-11-01,-21.63
2004-12-01,-28.86
2005-01-01,-22.0
2005-02-01,
2005-03-01,
2005-04-01,-13.09
2005-05-01,-0.32
2005-06-01,
2005-07-01,8.84
2005-08-01,9.51
2005-09-01,2.78
2005-10-01,-5.99
2005-11-01,-20.24
2005-12-01,-18.83
2006-01-01,-25.85
2006-02-01,-16.53
2006-03-01,-24.6
2006-04-01,-16.29
2006-05-01,0.56
2006-06-01,10.86
2006-07-01,12.89
2006-08-01,11.4
2006-09-01,7.14
2006-10-01,-3.42
2006-11-01,-19.64
2006-12-01,-18.26
2007-01-01,-23.33
2007-02-01,-27.3
2007-03-01,-26.02
2007-04-01,
2007-05-01,-4.52
2007-06-01,9.03
2007-07-01,13.69
2007-08-01,9.97
2007-09-01,3.73
2007-10-01,-8.81
2007-11-01,-17.32
2007-12-01,-22.79
2008-01-01,-23.09
