,Temperature_C
1995-01-01,-21.32
1995-02-01,-25.25
1995-03-01,-26.55
1995-04-01,-10.74
1995-05-01,-4.46
1995-06-01,6.85
1995-07-01,8.07
1995-08-01,6.17
1995-09-01,
1995-10-01,-8.81
1995-11-01,-15.79
1995-12-01,-28.19
1996-01-01,-26.07
1996-02-01,-23.19
1996-03-01,-22.4
1996-04-01,-17.35
1996-05-01,-5.65
1996-06-01,8.12
1996-07-01,11.95
1996-08-01,5.18
1996-09-01,-0.1
1996-10-01,-10.31
1996-11-01,-16.91
1996-12-01,-23.59
1997-01-01,-25.14
1997-02-01,-24.98
1997-03-01,-25.31
1997-04-01,-16.26
1997-05-01,-6.86
1997-06-01,2.74
1997-07-01,10.46
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,6.08
1998-07-01,12.38
1998-08-01,11.54
1998-09-01,4.44
1998-10-01,-4.51
1998-11-01,-11.09
1998-12-01,-16.51
1999-01-01,-24.86
1999-02-01,-22.64
1999-03-01,-19.57
1999-04-01,-14.39
1999-05-01,-5.94
1999-06-01,4.7
1999-07-01,5.89
1999-08-01,7.69
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,-23.77
2000-01-01,-22.57
2000-02-01,-25.67
2000-03-01,-24.01
2000-04-01,
2000-05-01,-7.15
2000-06-01,4.59
2000-07-01,9.39
2000-08-01,6.37
2000-09-01,0.67
2000-10-01,-7.82
2000-11-01,-17.9
2000-12-01,-25.15
2001-01-01,-23.24
2001-02-01,-22.82
2001-03-01,-25.92
2001-04-01,-15.08
2001-05-01,
2001-06-01,
2001-07-01,9.94
2001-08-01,7.62
2001-09-01,
2001-10-01,-8.39
2001-11-01,-15.81
2001-12-01,-18.8
2002-01-01,-25.02
2002-02-01,-29.64
2002-03-01,-22.94
2002-04-01,-18.21
2002-05-01,-7.51
2002-06-01,4.99
2002-07-01,7.94
2002-08-01,4.81
2002-09-01,2.49
2002-10-01,-5.81
2002-11-01,-15.21
2002-12-01,-15.87
2003-01-01,-22.36
2003-02-01,-27.24
2003-03-01,-25.15
2003-04-01,-13.78
2003-05-01,-6.21
2003-06-01,2.1
2003-07-01,10.18
2003-08-01,6.06
2003-09-01,3.11
2003-10-01,-4.43
2003-11-01,-16.04
2003-12-01,-24.08
2004-01-01,-26.91
2004-02-01,-30.56
2004-03-01,-27.7
2004-04-01,-19.11
2004-05-01,-11.09
2004-06-01,4.4
2004-07-01,8.65
2004-08-01,6.76
2004-09-01,0.77
2004-10-01,-8.94
2004-11-01,-18.93
2004-12-01,-25.24
2005-01-01,-23.73
2005-02-01,-28.57
2005-03-01,-24.5
2005-04-01,-12.65
2005-05-01,-6.05
2005-06-01,4.41
2005-07-01,5.53
2005-08-01,6.45
2005-09-01,0.95
2005-10-01,-6.65
2005-11-01,-16.86
2005-12-01,-19.59
2006-01-01,-23.69
2006-02-01,-17.84
2006-03-01,-21.8
2006-04-01,-17.65
2006-05-01,-1.3
2006-06-01,7.15
2006-07-01,8.64
2006-08-01,11.51
2006-09-01,
2006-10-01,-5.01
2006-11-01,-16.99
2006-12-01,-18.33
2007-01-01,-22.48
