,Temperature_C
1979-01-01,
1979-02-01,-37.15
1979-03-01,-33.15
1979-04-01,-21.48
1979-05-01,-7.34
1979-06-01,-0.19
1979-07-01,9.34
1979-08-01,4.76
1979-09-01,-2.05
1979-10-01,-12.89
1979-11-01,-17.55
1979-12-01,-29.96
1980-01-01,-34.03
1980-02-01,-25.55
1980-03-01,-28.62
1980-04-01,-22.35
1980-05-01,-7.13
1980-06-01,2.45
1980-07-01,7.76
1980-08-01,8.55
1980-09-01,-1.37
1980-10-01,-7.88
1980-11-01,-25.41
1980-12-01,-30.3
1981-01-01,-22.98
1981-02-01,-30.27
1981-03-01,-28.46
1981-04-01,-22.3
1981-05-01,-6.09
1981-06-01,4.26
1981-07-01,8.57
1981-08-01,7.26
1981-09-01,0.02
1981-10-01,-9.05
1981-11-01,-21.21
1981-12-01,-25.16
1982-01-01,
1982-02-01,-29.28
1982-03-01,-28.93
1982-04-01,-23.29
1982-05-01,-9.59
1982-06-01,0.96
1982-07-01,9.19
1982-08-01,5.71
1982-09-01,-2.09
1982-10-01,-10.81
1982-11-01,-27.47
1982-12-01,-31.47
1983-01-01,
1983-02-01,
1983-03-01,-29.84
1983-04-01,-21.67
1983-05-01,-14.72
1983-06-01,4.68
1983-07-01,9.74
1983-08-01,7.07
1983-09-01,3.2
1983-10-01,-10.34
1983-11-01,-15.48
1983-12-01,-25.78
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,-17.53
1984-05-01,-4.86
1984-06-01,5.38
1984-07-01,10.44
1984-08-01,6.78
1984-09-01,-1.44
1984-10-01,-11.13
1984-11-01,-22.03
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,-24.56
1985-05-01,-3.72
1985-06-01,4.47
1985-07-01,7.03
1985-08-01,5.32
1985-09-01,1.0
1985-10-01,-10.58
1985-11-01,-22.36
1985-12-01,-26.45
1986-01-01,
1986-02-01,
1986-03-01,-29.39
1986-04-01,-20.89
1986-05-01,-9.06
1986-06-01,-0.37
1986-07-01,8.23
1986-08-01,4.25
1986-09-01,0.11
1986-10-01,-13.23
1986-11-01,-26.52
1986-12-01,-28.87
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,-22.0
1987-05-01,-13.1
1987-06-01,-0.12
1987-07-01,8.99
1987-08-01,5.21
1987-09-01,1.18
1987-10-01,-9.13
1987-11-01,-24.74
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,-24.83
1988-04-01,-18.45
1988-05-01,-10.09
1988-06-01,5.07
1988-07-01,9.88
1988-08-01,8.42
1988-09-01,1.32
1988-10-01,-9.68
1988-11-01,-26.03
1988-12-01,-28.38
1989-01-01,
1989-02-01,-22.44
1989-03-01,
1989-04-01,-17.49
1989-05-01,-11.74
1989-06-01,5.89
1989-07-01,11.81
1989-08-01,10.15
1989-09-01,-0.14
1989-10-01,-10.87
1989-11-01,-26.45
1989-12-01,-30.14
1990-01-01,
1990-02-01,
1990-03-01,-23.91
1990-04-01,-17.67
1990-05-01,-9.25
1990-06-01,3.16
1990-07-01,9.93
1990-08-01,5.48
1990-09-01,-0.55
1990-10-01,-9.82
1990-11-01,-25.95
1990-12-01,-31.3
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,-19.05
1991-05-01,-7.61
1991-06-01,4.07
1991-07-01,8.76
1991-08-01,7.33
1991-09-01,-1.79
1991-10-01,-11.84
1991-11-01,-23.11
1991-12-01,-29.24
1992-01-01,
1992-02-01,
1992-03-01,-24.92
1992-04-01,-22.36
1992-05-01,-8.33
1992-06-01,2.52
1992-07-01,9.57
1992-08-01,6.12
1992-09-01,-2.04
1992-10-01,-10.84
1992-11-01,-22.35
1992-12-01,-24.63
1993-01-01,
1993-02-01,
1993-03-01,-25.67
1993-04-01,-21.96
1993-05-01,-6.95
1993-06-01,3.58
1993-07-01,
1993-08-01,
1993-09-01,
1993-10-01,
1993-11-01,
1993-12-01,
