,Temperature_C
1999-01-01,-32.18
1999-02-01,-31.58
1999-03-01,-27.94
1999-04-01,-23.78
1999-05-01,-9.47
1999-06-01,0.01
1999-07-01,5.6
1999-08-01,2.91
1999-09-01,-3.27
1999-10-01,-17.72
1999-11-01,-22.8
1999-12-01,-33.32
2000-01-01,-30.94
2000-02-01,-34.53
2000-03-01,-30.99
2000-04-01,-21.94
2000-05-01,-10.95
2000-06-01,2.1
2000-07-01,4.48
2000-08-01,0.1
2000-09-01,-6.12
2000-10-01,
2000-11-01,-27.1
2000-12-01,-29.9
2001-01-01,-33.34
2001-02-01,-31.25
2001-03-01,-33.06
2001-04-01,-23.22
2001-05-01,-11.4
2001-06-01,0.86
2001-07-01,4.34
2001-08-01,1.07
2001-09-01,-2.98
2001-10-01,-18.55
2001-11-01,-23.66
2001-12-01,-23.6
2002-01-01,-33.06
2002-02-01,-35.96
2002-03-01,-27.99
2002-04-01,-24.78
2002-05-01,-9.45
2002-06-01,1.26
2002-07-01,3.3
2002-08-01,0.79
2002-09-01,-4.12
2002-10-01,-12.64
2002-11-01,-25.73
2002-12-01,-25.29
2003-01-01,-30.07
2003-02-01,-34.86
2003-03-01,-33.18
2003-04-01,-22.59
2003-05-01,-10.33
2003-06-01,-1.97
2003-07-01,2.52
2003-08-01,0.04
2003-09-01,-4.31
2003-10-01,-15.65
2003-11-01,-23.47
2003-12-01,-31.5
2004-01-01,
2004-02-01,
2004-03-01,-36.26
2004-04-01,-25.15
2004-05-01,-12.14
2004-06-01,-0.61
2004-07-01,1.43
2004-08-01,0.87
2004-09-01,-8.64
2004-10-01,-21.18
2004-11-01,-25.6
2004-12-01,-32.67
2005-01-01,-30.34
2005-02-01,-36.23
2005-03-01,-31.38
2005-04-01,-22.2
2005-05-01,-8.38
2005-06-01,0.67
2005-07-01,3.23
2005-08-01,1.74
2005-09-01,-7.04
2005-10-01,-16.7
2005-11-01,-23.91
2005-12-01,-28.76
2006-01-01,-30.39
2006-02-01,-27.1
2006-03-01,-30.03
2006-04-01,-22.07
2006-05-01,-5.9
2006-06-01,-0.19
2006-07-01,4.05
2006-08-01,3.47
2006-09-01,-2.55
2006-10-01,-12.7
2006-11-01,-21.65
2006-12-01,-27.69
2007-01-01,-32.56
2007-02-01,-31.89
2007-03-01,-33.73
2007-04-01,-20.39
2007-05-01,-10.65
2007-06-01,1.01
2007-07-01,7.49
2007-08-01,4.0
2007-09-01,-4.55
2007-10-01,-15.31
2007-11-01,-25.2
2007-12-01,-29.07
2008-01-01,-35.48
2008-02-01,-33.79
2008-03-01,-33.46
2008-04-01,-23.24
2008-05-01,-8.79
2008-06-01,3.05
2008-07-01,6.59
2008-08-01,2.84
2008-09-01,-5.55
2008-10-01,-15.29
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,-24.46
2009-05-01,-10.54
2009-06-01,0.85
2009-07-01,4.61
2009-08-01,3.53
2009-09-01,-3.15
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,2.85
2010-07-01,4.48
2010-08-01,2.88
2010-09-01,-3.75
2010-10-01,-11.92
2010-11-01,-22.37
2010-12-01,-27.6
2011-01-01,-31.31
2011-02-01,-31.77
2011-03-01,-26.86
2011-04-01,-23.49
2011-05-01,-9.29
2011-06-01,1.18
2011-07-01,7.75
2011-08-01,5.23
2011-09-01,-2.65
2011-10-01,-13.13
2011-11-01,-23.0
2011-12-01,-30.48
2012-01-01,-30.46
2012-02-01,-32.97
2012-03-01,-33.35
2012-04-01,-23.21
2012-05-01,-7.96
2012-06-01,4.56
2012-07-01,6.43
2012-08-01,2.49
2012-09-01,-2.57
2012-10-01,-13.3
2012-11-01,-24.22
2012-12-01,-28.88
2013-01-01,-31.62
2013-02-01,-39.66
2013-03-01,-29.55
2013-04-01,-21.08
2013-05-01,-11.2
2013-06-01,-1.0
2013-07-01,3.25
2013-08-01,0.65
2013-09-01,-6.09
2013-10-01,-12.9
2013-11-01,-26.15
2013-12-01,-27.85
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,1.65
2014-09-01,-5.31
2014-10-01,-13.99
2014-11-01,-21.7
2014-12-01,-30.93
2015-01-01,-31.13
2015-02-01,-32.22
2015-03-01,-31.74
2015-04-01,-20.26
2015-05-01,-7.53
2015-06-01,1.93
2015-07-01,6.94
2015-08-01,2.95
2015-09-01,-3.26
2015-10-01,-15.09
2015-11-01,-24.7
2015-12-01,-31.65
2016-01-01,-27.18
2016-02-01,-28.52
2016-03-01,-27.81
2016-04-01,-22.75
2016-05-01,-6.87
2016-06-01,0.77
2016-07-01,4.85
2016-08-01,1.67
2016-09-01,-3.67
2016-10-01,-13.45
2016-11-01,-20.85
2016-12-01,-26.81
2017-01-01,-31.85
2017-02-01,-31.26
2017-03-01,-29.58
2017-04-01,-21.2
2017-05-01,-8.48
2017-06-01,-0.87
2017-07-01,2.78
2017-08-01,1.53
2017-09-01,-5.91
2017-10-01,-18.65
2017-11-01,-23.5
2017-12-01,-26.14
2018-01-01,-26.57
2018-02-01,-27.21
2018-03-01,-33.4
2018-04-01,-21.77
2018-05-01,-10.04
2018-06-01,-0.05
2018-07-01,2.17
2018-08-01,0.8
2018-09-01,-6.21
2018-10-01,-12.82
2018-11-01,-25.25
2018-12-01,-27.42
2019-01-01,-34.58
2019-02-01,-28.36
2019-03-01,-24.61
2019-04-01,-23.18
2019-05-01,-7.93
2019-06-01,-0.62
2019-07-01,4.7
2019-08-01,1.99
2019-09-01,-3.99
2019-10-01,-11.57
2019-11-01,-22.4
2019-12-01,-30.25
2020-01-01,-33.02
2020-02-01,-34.26
2020-03-01,-32.69
2020-04-01,-20.6
2020-05-01,-8.33
2020-06-01,2.48
2020-07-01,5.15
2020-08-01,1.7
2020-09-01,-3.95
2020-10-01,
2020-11-01,
2020-12-01,
