,Temperature_C
1979-01-01,-26.09
1979-02-01,-33.0
1979-03-01,-31.95
1979-04-01,-20.0
1979-05-01,-8.39
1979-06-01,0.94
1979-07-01,6.55
1979-08-01,5.55
1979-09-01,0.09
1979-10-01,-8.35
1979-11-01,-13.79
1979-12-01,-26.1
1980-01-01,-30.35
1980-02-01,-23.75
1980-03-01,-27.0
1980-04-01,-20.2
1980-05-01,-6.1
1980-06-01,1.75
1980-07-01,4.85
1980-08-01,6.8
1980-09-01,-0.35
1980-10-01,-4.44
1980-11-01,-18.4
1980-12-01,-28.3
1981-01-01,-18.45
1981-02-01,-27.1
1981-03-01,-26.7
1981-04-01,-21.15
1981-05-01,-4.5
1981-06-01,3.75
1981-07-01,8.25
1981-08-01,8.8
1981-09-01,2.05
1981-10-01,-7.1
1981-11-01,-18.2
1981-12-01,-21.15
1982-01-01,-32.25
1982-02-01,-27.55
1982-03-01,-27.7
1982-04-01,-21.2
1982-05-01,-8.6
1982-06-01,1.8
1982-07-01,7.4
1982-08-01,6.35
1982-09-01,0.6
1982-10-01,-8.1
1982-11-01,-25.15
1982-12-01,-30.3
1983-01-01,-30.59
1983-02-01,-34.4
1983-03-01,-29.4
1983-04-01,-21.15
1983-05-01,-14.35
1983-06-01,3.55
1983-07-01,6.55
1983-08-01,6.95
1983-09-01,2.8
1983-10-01,-8.39
1983-11-01,-13.2
1983-12-01,-21.7
1984-01-01,
1984-02-01,-28.3
1984-03-01,-26.95
1984-04-01,-15.25
1984-05-01,-2.6
1984-06-01,4.69
1984-07-01,7.4
1984-08-01,6.95
1984-09-01,0.6
1984-10-01,-6.75
1984-11-01,-21.6
1984-12-01,-30.7
1985-01-01,-26.34
1985-02-01,
1985-03-01,-27.95
1985-04-01,-23.15
1985-05-01,-3.7
1985-06-01,3.8
1985-07-01,3.6
1985-08-01,4.69
1985-09-01,2.5
1985-10-01,-8.95
1985-11-01,-21.0
1985-12-01,-24.35
1986-01-01,
1986-02-01,-26.45
1986-03-01,-28.6
1986-04-01,-20.75
1986-05-01,-7.65
1986-06-01,-0.2
1986-07-01,5.2
1986-08-01,4.25
1986-09-01,1.9
1986-10-01,-7.95
1986-11-01,-23.7
1986-12-01,-27.0
1987-01-01,-25.25
1987-02-01,-27.05
1987-03-01,-25.9
1987-04-01,-21.0
1987-05-01,-11.05
1987-06-01,0.65
1987-07-01,6.15
1987-08-01,5.6
1987-09-01,2.9
1987-10-01,-5.35
1987-11-01,-19.5
1987-12-01,-18.75
1988-01-01,-25.7
1988-02-01,-27.65
1988-03-01,-22.3
1988-04-01,-15.25
1988-05-01,-9.25
1988-06-01,5.3
1988-07-01,10.25
1988-08-01,9.85
1988-09-01,3.15
1988-10-01,-6.7
1988-11-01,-23.1
1988-12-01,-25.8
1989-01-01,-29.5
1989-02-01,-19.1
1989-03-01,-27.34
1989-04-01,-14.95
1989-05-01,-10.2
1989-06-01,5.95
1989-07-01,10.65
1989-08-01,10.7
1989-09-01,1.59
1989-10-01,-6.6
1989-11-01,-25.25
1989-12-01,-27.75
1990-01-01,-30.29
1990-02-01,-34.91
1990-03-01,-22.52
1990-04-01,-14.7
1990-05-01,-7.46
1990-06-01,2.62
1990-07-01,7.49
1990-08-01,4.26
1990-09-01,1.8
1990-10-01,-8.78
1990-11-01,-22.4
1990-12-01,-29.27
1991-01-01,-29.24
1991-02-01,-31.91
1991-03-01,-28.89
1991-04-01,-17.88
1991-05-01,-4.23
1991-06-01,
1991-07-01,4.96
1991-08-01,6.1
1991-09-01,-0.05
1991-10-01,
1991-11-01,
1991-12-01,-27.32
1992-01-01,-30.21
1992-02-01,-29.35
1992-03-01,-21.35
1992-04-01,
1992-05-01,-6.42
1992-06-01,3.33
1992-07-01,8.06
1992-08-01,7.99
1992-09-01,
1992-10-01,-7.77
1992-11-01,-18.58
1992-12-01,-21.99
1993-01-01,-24.76
1993-02-01,-27.45
1993-03-01,-22.21
1993-04-01,-19.72
1993-05-01,-5.7
1993-06-01,6.21
1993-07-01,10.58
1993-08-01,10.58
1993-09-01,2.03
1993-10-01,-4.68
1993-11-01,-18.83
1993-12-01,-27.16
