,Temperature_C
1979-01-01,-18.49
1979-02-01,-14.97
1979-03-01,-7.24
1979-04-01,-4.1
1979-05-01,6.08
1979-06-01,12.5
1979-07-01,14.56
1979-08-01,12.6
1979-09-01,6.43
1979-10-01,-3.31
1979-11-01,-5.66
1979-12-01,-10.17
1980-01-01,-17.75
1980-02-01,-17.33
1980-03-01,-10.86
1980-04-01,-0.71
1980-05-01,4.42
1980-06-01,15.18
1980-07-01,13.64
1980-08-01,10.86
1980-09-01,6.71
1980-10-01,-1.98
1980-11-01,-12.77
1980-12-01,-15.75
1981-01-01,-13.7
1981-02-01,-16.03
1981-03-01,-15.67
1981-04-01,-3.52
1981-05-01,5.26
1981-06-01,8.87
1981-07-01,14.51
1981-08-01,10.59
1981-09-01,5.71
1981-10-01,0.58
1981-11-01,-7.23
1981-12-01,-21.49
1982-01-01,-20.36
1982-02-01,-9.99
1982-03-01,-5.9
1982-04-01,-1.27
1982-05-01,4.44
1982-06-01,7.33
1982-07-01,14.73
1982-08-01,10.71
1982-09-01,5.82
1982-10-01,-1.01
1982-11-01,-3.76
1982-12-01,-8.86
1983-01-01,-11.07
1983-02-01,-13.1
1983-03-01,-7.81
1983-04-01,0.5
1983-05-01,6.61
1983-06-01,11.02
1983-07-01,14.28
1983-08-01,10.1
1983-09-01,7.82
1983-10-01,-0.35
1983-11-01,-15.36
1983-12-01,-16.49
1984-01-01,-15.04
1984-02-01,-7.66
1984-03-01,-10.74
1984-04-01,-1.22
1984-05-01,8.53
1984-06-01,11.43
1984-07-01,12.97
1984-08-01,10.2
1984-09-01,4.78
1984-10-01,-0.41
1984-11-01,-8.84
1984-12-01,-7.57
1985-01-01,-24.43
1985-02-01,-25.34
1985-03-01,-7.34
1985-04-01,-4.81
1985-05-01,2.88
1985-06-01,11.51
1985-07-01,13.93
1985-08-01,12.29
1985-09-01,6.04
1985-10-01,0.82
1985-11-01,-8.32
1985-12-01,-21.39
1986-01-01,-18.92
1986-02-01,-15.9
1986-03-01,-4.1
1986-04-01,-3.13
1986-05-01,5.97
1986-06-01,14.35
1986-07-01,13.91
1986-08-01,9.01
1986-09-01,2.78
1986-10-01,1.69
1986-11-01,-2.97
1986-12-01,-19.27
1987-01-01,-22.79
1987-02-01,-16.15
1987-03-01,-10.02
1987-04-01,-2.99
1987-05-01,4.24
1987-06-01,11.08
1987-07-01,12.26
1987-08-01,9.34
1987-09-01,6.19
1987-10-01,5.57
1987-11-01,-8.85
1987-12-01,-16.85
1988-01-01,-13.43
1988-02-01,-13.81
1988-03-01,-7.99
1988-04-01,-4.59
1988-05-01,5.16
1988-06-01,13.0
1988-07-01,16.33
1988-08-01,11.86
1988-09-01,7.75
1988-10-01,-0.09
1988-11-01,-11.92
1988-12-01,-16.54
1989-01-01,-9.93
1989-02-01,-8.96
1989-03-01,-2.68
1989-04-01,1.4
1989-05-01,7.25
1989-06-01,13.17
1989-07-01,13.79
1989-08-01,11.84
1989-09-01,6.87
1989-10-01,-0.87
1989-11-01,-4.85
