,Temperature_C
1979-01-01,-17.94
1979-02-01,-15.05
1979-03-01,-7.51
1979-04-01,-4.82
1979-05-01,5.63
1979-06-01,11.76
1979-07-01,13.78
1979-08-01,11.75
1979-09-01,5.69
1979-10-01,-3.63
1979-11-01,-6.28
1979-12-01,-10.6
1980-01-01,-17.32
1980-02-01,-16.66
1980-03-01,-11.54
1980-04-01,-1.49
1980-05-01,4.13
1980-06-01,14.19
1980-07-01,12.52
1980-08-01,10.12
1980-09-01,5.86
1980-10-01,-2.43
1980-11-01,-12.78
1980-12-01,-15.63
1981-01-01,-13.06
1981-02-01,-15.84
1981-03-01,-16.03
1981-04-01,-4.2
1981-05-01,4.71
1981-06-01,8.29
1981-07-01,13.74
1981-08-01,10.07
1981-09-01,4.95
1981-10-01,0.15
1981-11-01,-7.4
1981-12-01,-19.57
1982-01-01,-19.88
1982-02-01,-9.95
1982-03-01,-6.24
1982-04-01,-1.95
1982-05-01,3.87
1982-06-01,6.61
1982-07-01,13.32
1982-08-01,9.72
1982-09-01,5.42
1982-10-01,-1.17
1982-11-01,-4.0
1982-12-01,-9.12
1983-01-01,-11.14
1983-02-01,-13.75
1983-03-01,-8.98
1983-04-01,0.09
1983-05-01,6.11
1983-06-01,10.35
1983-07-01,13.51
1983-08-01,8.89
1983-09-01,7.55
1983-10-01,-0.88
1983-11-01,-15.51
1983-12-01,-15.73
1984-01-01,-14.86
1984-02-01,-8.19
1984-03-01,-11.17
1984-04-01,-1.6
1984-05-01,8.05
1984-06-01,10.61
1984-07-01,12.57
1984-08-01,9.36
1984-09-01,4.4
1984-10-01,-0.62
1984-11-01,-8.83
1984-12-01,-8.02
1985-01-01,-24.42
1985-02-01,-24.21
1985-03-01,-7.22
1985-04-01,-5.49
1985-05-01,2.46
1985-06-01,10.82
1985-07-01,13.02
1985-08-01,11.77
1985-09-01,5.57
1985-10-01,0.32
1985-11-01,-8.65
1985-12-01,-20.31
1986-01-01,-18.82
1986-02-01,-16.14
1986-03-01,-4.61
1986-04-01,-4.3
1986-05-01,5.53
1986-06-01,13.4
1986-07-01,13.09
1986-08-01,8.36
1986-09-01,2.18
1986-10-01,1.07
1986-11-01,-3.19
1986-12-01,-19.77
1987-01-01,-21.96
1987-02-01,-16.49
1987-03-01,-10.06
1987-04-01,-3.9
1987-05-01,4.07
1987-06-01,10.36
1987-07-01,11.28
1987-08-01,8.75
1987-09-01,5.67
1987-10-01,5.05
1987-11-01,-8.99
1987-12-01,-16.26
1988-01-01,-12.18
1988-02-01,
1988-03-01,-8.11
1988-04-01,-5.02
1988-05-01,4.94
1988-06-01,12.54
1988-07-01,15.59
1988-08-01,11.17
1988-09-01,7.16
1988-10-01,-0.66
1988-11-01,-11.51
1988-12-01,-16.01
1989-01-01,-9.86
1989-02-01,-9.25
1989-03-01,-2.83
1989-04-01,0.96
1989-05-01,6.53
1989-06-01,12.11
1989-07-01,12.84
1989-08-01,11.33
1989-09-01,6.31
1989-10-01,-1.28
1989-11-01,-5.06
1989-12-01,-13.13
1990-01-01,-16.82
1990-02-01,-3.59
1990-03-01,-7.32
1990-04-01,-0.54
1990-05-01,4.75
1990-06-01,9.59
1990-07-01,13.43
1990-08-01,11.36
1990-09-01,4.62
1990-10-01,-0.28
1990-11-01,-10.94
1990-12-01,-7.08
1991-01-01,-12.99
1991-02-01,-17.25
1991-03-01,-9.86
1991-04-01,-1.22
1991-05-01,3.02
1991-06-01,9.86
1991-07-01,13.92
1991-08-01,11.92
1991-09-01,3.46
1991-10-01,0.34
1991-11-01,-3.66
1991-12-01,-8.81
1992-01-01,-9.18
1992-02-01,-7.74
1992-03-01,-4.49
1992-04-01,-5.0
1992-05-01,6.76
1992-06-01,12.41
1992-07-01,11.19
1992-08-01,8.57
1992-09-01,7.86
1992-10-01,-9.75
1992-11-01,-10.41
1992-12-01,-5.51
1993-01-01,-10.64
1993-02-01,-10.81
1993-03-01,-8.39
1993-04-01,-3.45
1993-05-01,5.19
1993-06-01,7.48
1993-07-01,13.69
1993-08-01,10.87
1993-09-01,1.96
1993-10-01,-5.42
1993-11-01,-5.94
1993-12-01,-10.64
1994-01-01,-16.31
1994-02-01,-15.9
1994-03-01,-8.02
1994-04-01,0.9
1994-05-01,3.09
1994-06-01,10.2
1994-07-01,13.53
1994-08-01,10.8
1994-09-01,4.58
1994-10-01,-1.51
1994-11-01,-8.2
1994-12-01,-6.15
1995-01-01,-10.35
1995-02-01,-8.67
1995-03-01,-4.85
1995-04-01,-2.52
1995-05-01,3.21
1995-06-01,12.47
1995-07-01,11.02
1995-08-01,10.4
1995-09-01,4.53
1995-10-01,-0.58
1995-11-01,-13.04
1995-12-01,-16.62
1996-01-01,-9.93
1996-02-01,-15.11
1996-03-01,-6.78
1996-04-01,-3.01
1996-05-01,1.52
1996-06-01,9.8
1996-07-01,11.87
1996-08-01,12.73
1996-09-01,4.64
1996-10-01,1.77
1996-11-01,-5.01
1996-12-01,-12.82
1997-01-01,-13.67
1997-02-01,-12.54
1997-03-01,-6.67
1997-04-01,-6.99
1997-05-01,3.34
1997-06-01,12.12
1997-07-01,15.27
1997-08-01,12.25
1997-09-01,7.15
1997-10-01,-2.21
1997-11-01,-7.54
1997-12-01,-10.0
1998-01-01,-12.59
1998-02-01,-19.1
1998-03-01,-11.18
1998-04-01,-5.05
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
