,Temperature_C
1979-01-01,
1979-02-01,
1979-03-01,
1979-04-01,
1979-05-01,
1979-06-01,
1979-07-01,
1979-08-01,
1979-09-01,
1979-10-01,
1979-11-01,
1979-12-01,
1980-01-01,-15.0
1980-02-01,-15.98
1980-03-01,-10.28
1980-04-01,-1.55
1980-05-01,1.94
1980-06-01,12.87
1980-07-01,11.9
1980-08-01,9.8
1980-09-01,5.08
1980-10-01,-3.42
1980-11-01,-11.71
1980-12-01,-14.77
1981-01-01,-12.85
1981-02-01,-14.41
1981-03-01,-13.75
1981-04-01,-4.44
1981-05-01,3.48
1981-06-01,6.2
1981-07-01,12.67
1981-08-01,8.7
1981-09-01,4.33
1981-10-01,-0.69
1981-11-01,-7.97
1981-12-01,-17.79
1982-01-01,-16.99
1982-02-01,-9.77
1982-03-01,-7.29
1982-04-01,-2.71
1982-05-01,2.3
1982-06-01,4.79
1982-07-01,12.93
1982-08-01,9.25
1982-09-01,3.9
1982-10-01,-2.42
1982-11-01,-5.88
1982-12-01,-9.97
1983-01-01,-10.62
1983-02-01,-12.42
1983-03-01,-7.64
1983-04-01,-0.43
1983-05-01,4.26
1983-06-01,8.95
1983-07-01,12.49
1983-08-01,8.38
1983-09-01,6.52
1983-10-01,-1.74
1983-11-01,-13.53
1983-12-01,-15.07
1984-01-01,-13.39
1984-02-01,-8.16
1984-03-01,-9.7
1984-04-01,-1.85
1984-05-01,7.04
1984-06-01,9.87
1984-07-01,10.2
1984-08-01,8.99
1984-09-01,3.55
1984-10-01,-2.73
1984-11-01,-10.14
1984-12-01,-7.41
1985-01-01,-19.69
1985-02-01,-21.04
1985-03-01,-7.42
1985-04-01,-5.12
1985-05-01,0.78
1985-06-01,9.34
1985-07-01,13.08
1985-08-01,10.73
1985-09-01,4.92
1985-10-01,-1.11
1985-11-01,-7.84
1985-12-01,-18.54
1986-01-01,-16.11
1986-02-01,-14.26
1986-03-01,-5.64
1986-04-01,-4.49
1986-05-01,3.3
1986-06-01,12.57
1986-07-01,12.02
1986-08-01,7.89
1986-09-01,1.56
1986-10-01,-0.45
1986-11-01,-4.96
1986-12-01,-17.83
1987-01-01,-17.91
1987-02-01,-15.46
1987-03-01,-10.07
1987-04-01,-4.26
1987-05-01,2.43
1987-06-01,8.4
1987-07-01,10.33
1987-08-01,7.41
1987-09-01,4.68
1987-10-01,3.74
1987-11-01,-10.24
1987-12-01,-15.06
1988-01-01,-12.66
1988-02-01,-12.41
1988-03-01,-8.4
1988-04-01,-5.44
1988-05-01,3.45
1988-06-01,10.99
1988-07-01,14.66
1988-08-01,10.08
1988-09-01,5.98
