,Temperature_C
1979-01-01,-18.36
1979-02-01,-14.73
1979-03-01,-9.41
1979-04-01,-4.71
1979-05-01,1.62
1979-06-01,8.91
1979-07-01,12.31
1979-08-01,10.02
1979-09-01,4.67
1979-10-01,-2.78
1979-11-01,-6.94
1979-12-01,-9.31
1980-01-01,-17.25
1980-02-01,-16.32
1980-03-01,-12.64
1980-04-01,-1.27
1980-05-01,3.13
1980-06-01,10.65
1980-07-01,12.17
1980-08-01,10.73
1980-09-01,5.87
1980-10-01,-2.47
1980-11-01,-11.31
1980-12-01,-17.31
1981-01-01,-16.66
1981-02-01,-15.06
1981-03-01,-14.96
1981-04-01,-4.17
1981-05-01,1.75
1981-06-01,4.46
1981-07-01,10.5
1981-08-01,8.7
1981-09-01,4.67
1981-10-01,-1.2
1981-11-01,-9.22
1981-12-01,-17.43
1982-01-01,-14.12
1982-02-01,-8.18
1982-03-01,-8.02
1982-04-01,-3.32
1982-05-01,1.3
1982-06-01,3.62
1982-07-01,10.63
1982-08-01,8.83
1982-09-01,2.87
1982-10-01,-0.54
1982-11-01,-7.23
1982-12-01,-9.46
1983-01-01,-12.41
1983-02-01,-11.04
1983-03-01,-9.47
1983-04-01,-2.32
1983-05-01,2.91
1983-06-01,6.59
1983-07-01,10.43
1983-08-01,7.12
1983-09-01,5.73
1983-10-01,-2.01
1983-11-01,-12.34
1983-12-01,-16.42
1984-01-01,-15.65
1984-02-01,-6.53
1984-03-01,-9.89
1984-04-01,-3.26
1984-05-01,4.67
1984-06-01,8.43
1984-07-01,9.22
1984-08-01,8.55
1984-09-01,4.34
1984-10-01,-0.89
1984-11-01,-8.12
1984-12-01,-7.64
1985-01-01,-17.35
1985-02-01,-21.45
1985-03-01,-8.38
1985-04-01,-8.64
1985-05-01,0.18
1985-06-01,7.16
1985-07-01,12.26
1985-08-01,10.1
1985-09-01,4.56
1985-10-01,-0.15
1985-11-01,-8.57
1985-12-01,-19.21
1986-01-01,-18.75
1986-02-01,-12.13
1986-03-01,-5.32
1986-04-01,-4.23
1986-05-01,3.71
1986-06-01,9.94
1986-07-01,11.71
1986-08-01,8.33
1986-09-01,2.56
1986-10-01,0.6
1986-11-01,-5.16
1986-12-01,-18.14
1987-01-01,-18.68
1987-02-01,-13.88
1987-03-01,-11.83
1987-04-01,-5.34
1987-05-01,1.29
1987-06-01,6.59
1987-07-01,9.64
1987-08-01,7.31
1987-09-01,5.14
1987-10-01,3.84
1987-11-01,-8.25
1987-12-01,-15.58
1988-01-01,-14.25
1988-02-01,-15.41
1988-03-01,-12.1
1988-04-01,-6.33
1988-05-01,1.36
1988-06-01,8.85
1988-07-01,13.54
1988-08-01,9.99
1988-09-01,6.33
1988-10-01,-0.42
1988-11-01,-10.22
1988-12-01,-11.95
1989-01-01,-8.2
1989-02-01,-9.93
1989-03-01,-5.92
1989-04-01,-0.99
1989-05-01,3.06
1989-06-01,9.03
1989-07-01,10.06
1989-08-01,10.6
1989-09-01,5.76
1989-10-01,-1.91
1989-11-01,-4.86
1989-12-01,-12.5
1990-01-01,-14.12
1990-02-01,-5.49
1990-03-01,-7.61
1990-04-01,-3.76
1990-05-01,1.68
1990-06-01,8.09
1990-07-01,12.05
