,Temperature_C
1979-01-01,-8.45
1979-02-01,-7.68
1979-03-01,-7.13
1979-04-01,-3.49
1979-05-01,-2.04
1979-06-01,3.88
1979-07-01,5.64
1979-08-01,6.27
1979-09-01,2.23
1979-10-01,-0.47
1979-11-01,-4.39
1979-12-01,-3.77
1980-01-01,-4.26
1980-02-01,-6.32
1980-03-01,-5.7
1980-04-01,-4.23
1980-05-01,1.53
1980-06-01,4.15
1980-07-01,6.03
1980-08-01,6.33
1980-09-01,4.08
1980-10-01,-1.21
1980-11-01,-3.14
1980-12-01,-8.64
1981-01-01,-9.53
1981-02-01,-10.18
1981-03-01,-11.31
1981-04-01,-3.23
1981-05-01,-0.55
1981-06-01,3.29
1981-07-01,6.17
1981-08-01,6.55
1981-09-01,4.14
1981-10-01,-2.02
1981-11-01,-6.16
1981-12-01,-9.04
1982-01-01,-11.29
1982-02-01,-5.05
1982-03-01,-6.4
1982-04-01,-4.2
1982-05-01,-1.68
1982-06-01,4.08
1982-07-01,5.14
1982-08-01,5.56
1982-09-01,0.32
1982-10-01,0.53
1982-11-01,-6.07
1982-12-01,-6.14
1983-01-01,-11.75
1983-02-01,-9.32
1983-03-01,-11.95
1983-04-01,-5.51
1983-05-01,0.3
1983-06-01,2.97
1983-07-01,4.38
1983-08-01,3.84
1983-09-01,3.01
1983-10-01,-3.01
1983-11-01,-4.84
1983-12-01,-7.97
1984-01-01,-8.71
1984-02-01,-8.92
1984-03-01,-7.89
1984-04-01,-4.52
1984-05-01,0.36
1984-06-01,3.07
1984-07-01,6.16
1984-08-01,5.69
1984-09-01,3.01
1984-10-01,-0.17
1984-11-01,-4.2
1984-12-01,-4.98
1985-01-01,-5.1
1985-02-01,-7.27
1985-03-01,-6.24
1985-04-01,-3.07
1985-05-01,2.24
1985-06-01,4.95
1985-07-01,5.83
1985-08-01,6.28
1985-09-01,2.74
1985-10-01,0.15
1985-11-01,-2.66
1985-12-01,-8.72
1986-01-01,-4.4
1986-02-01,-4.26
1986-03-01,-6.36
1986-04-01,-2.05
1986-05-01,-0.09
1986-06-01,3.51
1986-07-01,5.96
1986-08-01,5.82
1986-09-01,5.02
1986-10-01,-1.18
1986-11-01,-5.45
1986-12-01,-7.73
1987-01-01,-1.49
1987-02-01,-8.32
1987-03-01,-6.35
1987-04-01,-3.51
1987-05-01,0.26
1987-06-01,3.14
1987-07-01,5.6
1987-08-01,5.73
1987-09-01,4.14
1987-10-01,-2.24
1987-11-01,-1.63
1987-12-01,-5.58
1988-01-01,-10.59
1988-02-01,-7.75
1988-03-01,-10.54
1988-04-01,-8.01
1988-05-01,1.11
1988-06-01,3.48
1988-07-01,6.98
1988-08-01,6.21
1988-09-01,3.08
1988-10-01,-0.38
1988-11-01,-2.46
1988-12-01,-7.35
1989-01-01,-7.82
1989-02-01,-11.26
1989-03-01,-9.08
1989-04-01,-4.5
1989-05-01,-0.56
1989-06-01,3.85
1989-07-01,5.57
1989-08-01,5.4
1989-09-01,1.77
1989-10-01,-0.49
1989-11-01,-2.36
1989-12-01,-6.13
1990-01-01,-5.86
1990-02-01,-8.11
1990-03-01,-12.63
1990-04-01,-7.72
1990-05-01,-0.03
1990-06-01,4.9
1990-07-01,6.68
1990-08-01,6.93
1990-09-01,2.08
1990-10-01,-0.56
1990-11-01,-1.15
1990-12-01,-6.03
1991-01-01,-5.55
1991-02-01,-4.83
1991-03-01,-5.0
1991-04-01,-5.68
1991-05-01,1.19
1991-06-01,3.34
1991-07-01,7.42
1991-08-01,7.63
1991-09-01,3.7
1991-10-01,-0.74
1991-11-01,-4.85
1991-12-01,-5.13
1992-01-01,-7.48
1992-02-01,-8.77
1992-03-01,-7.46
1992-04-01,-5.89
1992-05-01,-0.81
1992-06-01,3.45
1992-07-01,4.77
1992-08-01,5.71
1992-09-01,2.76
1992-10-01,0.98
1992-11-01,-3.42
1992-12-01,-7.83
1993-01-01,-10.21
1993-02-01,-10.25
1993-03-01,-9.1
1993-04-01,-2.77
1993-05-01,-0.39
1993-06-01,3.0
1993-07-01,5.82
1993-08-01,5.82
1993-09-01,4.41
1993-10-01,0.23
1993-11-01,-3.44
1993-12-01,-6.94
1994-01-01,-9.63
1994-02-01,-5.53
1994-03-01,-6.76
1994-04-01,-2.22
1994-05-01,1.28
1994-06-01,3.29
1994-07-01,7.7
1994-08-01,6.93
1994-09-01,4.2
1994-10-01,-3.24
1994-11-01,-3.31
1994-12-01,-8.32
1995-01-01,-10.73
1995-02-01,-8.12
1995-03-01,-7.58
1995-04-01,-4.22
1995-05-01,0.85
1995-06-01,4.48
1995-07-01,7.34
1995-08-01,6.17
1995-09-01,3.93
1995-10-01,-1.67
1995-11-01,-2.8
1995-12-01,-6.29
1996-01-01,-5.42
1996-02-01,-4.95
1996-03-01,-2.71
1996-04-01,-1.96
1996-05-01,-0.18
1996-06-01,4.58
1996-07-01,5.98
1996-08-01,6.2
1996-09-01,5.14
1996-10-01,0.5
1996-11-01,-4.91
1996-12-01,-4.96
1997-01-01,-7.7
1997-02-01,-7.95
1997-03-01,-8.55
1997-04-01,-2.7
1997-05-01,-0.47
1997-06-01,4.63
1997-07-01,6.02
1997-08-01,7.3
1997-09-01,4.0
1997-10-01,-0.13
1997-11-01,-3.24
1997-12-01,-3.81
1998-01-01,-6.18
1998-02-01,-8.83
1998-03-01,-9.11
1998-04-01,-1.56
1998-05-01,1.52
1998-06-01,2.93
1998-07-01,6.7
1998-08-01,6.88
1998-09-01,2.83
1998-10-01,-1.4
1998-11-01,-1.71
1998-12-01,-3.92
1999-01-01,-6.13
1999-02-01,-8.28
1999-03-01,-7.37
1999-04-01,-3.01
1999-05-01,1.74
1999-06-01,4.49
1999-07-01,7.12
1999-08-01,5.97
1999-09-01,4.49
1999-10-01,2.16
1999-11-01,-3.05
1999-12-01,-6.35
2000-01-01,-4.82
2000-02-01,-6.86
2000-03-01,-7.53
2000-04-01,-2.39
2000-05-01,1.93
2000-06-01,4.94
2000-07-01,6.09
2000-08-01,6.16
2000-09-01,4.72
2000-10-01,0.72
