,Temperature_C
1979-01-01,-23.33
1979-02-01,-22.06
1979-03-01,-16.76
1979-04-01,-15.45
1979-05-01,-8.36
1979-06-01,0.51
1979-07-01,4.8
1979-08-01,5.95
1979-09-01,-0.77
1979-10-01,-9.34
1979-11-01,-18.2
1979-12-01,-17.95
1980-01-01,-22.24
1980-02-01,-24.79
1980-03-01,-17.03
1980-04-01,-15.05
1980-05-01,-4.5
1980-06-01,2.31
1980-07-01,4.69
1980-08-01,7.27
1980-09-01,1.32
1980-10-01,-10.53
1980-11-01,-22.38
1980-12-01,-27.67
1981-01-01,-25.38
1981-02-01,-22.11
1981-03-01,-26.04
1981-04-01,-13.99
1981-05-01,-5.82
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,-19.4
1981-12-01,-22.28
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,-20.18
1982-05-01,-8.22
1982-06-01,-0.05
1982-07-01,
1982-08-01,4.22
1982-09-01,-2.0
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,-24.4
1983-03-01,-21.77
1983-04-01,
1983-05-01,-8.34
1983-06-01,0.58
1983-07-01,3.31
1983-08-01,3.3
1983-09-01,-0.87
1983-10-01,-12.22
1983-11-01,-20.07
1983-12-01,-24.03
1984-01-01,-17.81
1984-02-01,-18.47
1984-03-01,-20.87
1984-04-01,-12.57
1984-05-01,-6.84
1984-06-01,1.74
1984-07-01,4.77
1984-08-01,4.94
1984-09-01,-0.59
1984-10-01,-10.02
1984-11-01,-16.52
1984-12-01,-13.26
1985-01-01,-21.96
1985-02-01,-22.97
1985-03-01,-21.73
1985-04-01,-19.45
1985-05-01,-5.91
1985-06-01,-0.15
1985-07-01,4.38
1985-08-01,4.42
1985-09-01,-0.48
1985-10-01,
1985-11-01,
1985-12-01,
