,Temperature_C
1979-01-01,-8.09
1979-02-01,-12.25
1979-03-01,-12.37
1979-04-01,-5.12
1979-05-01,-1.17
1979-06-01,2.62
1979-07-01,6.13
1979-08-01,6.06
1979-09-01,2.15
1979-10-01,-1.07
1979-11-01,-7.72
1979-12-01,-9.42
1980-01-01,-4.59
1980-02-01,-9.54
1980-03-01,-8.91
1980-04-01,-9.12
1980-05-01,-0.65
1980-06-01,2.47
1980-07-01,6.16
1980-08-01,6.13
1980-09-01,3.21
1980-10-01,-1.51
1980-11-01,-4.65
1980-12-01,-8.67
1981-01-01,-13.32
1981-02-01,-17.91
1981-03-01,-13.48
1981-04-01,-8.9
1981-05-01,-1.12
1981-06-01,3.71
1981-07-01,6.64
1981-08-01,5.27
1981-09-01,3.27
1981-10-01,-1.48
1981-11-01,-6.38
1981-12-01,-6.53
1982-01-01,-10.08
1982-02-01,-20.27
1982-03-01,-17.28
1982-04-01,-10.08
1982-05-01,-3.38
1982-06-01,3.07
1982-07-01,6.12
1982-08-01,4.67
1982-09-01,1.22
1982-10-01,-2.53
1982-11-01,-8.28
1982-12-01,-14.58
1983-01-01,-29.84
1983-02-01,-23.89
1983-03-01,-24.59
1983-04-01,-12.53
1983-05-01,-3.74
1983-06-01,2.01
1983-07-01,4.26
1983-08-01,3.31
1983-09-01,1.66
1983-10-01,-3.59
1983-11-01,-7.24
1983-12-01,-12.28
1984-01-01,-24.84
1984-02-01,-31.38
1984-03-01,-19.04
1984-04-01,-15.49
1984-05-01,-5.58
1984-06-01,1.26
1984-07-01,6.56
1984-08-01,4.56
1984-09-01,1.61
1984-10-01,-3.09
1984-11-01,-5.34
1984-12-01,-12.3
1985-01-01,-8.14
1985-02-01,-15.75
1985-03-01,-14.7
1985-04-01,-8.0
1985-05-01,0.5
1985-06-01,4.4
1985-07-01,6.0
1985-08-01,5.8
1985-09-01,3.25
1985-10-01,-2.65
1985-11-01,-4.05
1985-12-01,-5.85
1986-01-01,-8.35
1986-02-01,-4.9
1986-03-01,-13.1
1986-04-01,-7.95
1986-05-01,-0.9
1986-06-01,2.55
1986-07-01,5.3
1986-08-01,6.2
1986-09-01,3.7
1986-10-01,-4.15
1986-11-01,-8.8
1986-12-01,-11.35
1987-01-01,-13.15
1987-02-01,-19.56
1987-03-01,-16.85
1987-04-01,-13.74
1987-05-01,-1.73
1987-06-01,3.77
1987-07-01,5.33
1987-08-01,7.63
1987-09-01,3.1
1987-10-01,-2.45
1987-11-01,-4.92
1987-12-01,-8.85
1988-01-01,-13.4
1988-02-01,-9.86
1988-03-01,-13.72
1988-04-01,-9.73
1988-05-01,-1.75
1988-06-01,2.0
1988-07-01,6.06
1988-08-01,5.5
1988-09-01,3.4
1988-10-01,-0.81
1988-11-01,-3.7
1988-12-01,-9.52
1989-01-01,-18.56
1989-02-01,-23.76
1989-03-01,-22.67
1989-04-01,-10.78
1989-05-01,-3.21
1989-06-01,1.95
1989-07-01,4.93
1989-08-01,5.01
1989-09-01,1.04
1989-10-01,-2.99
1989-11-01,-4.05
1989-12-01,-9.3
1990-01-01,-17.14
1990-02-01,-21.84
1990-03-01,-19.18
1990-04-01,-12.43
1990-05-01,-1.94
1990-06-01,4.71
1990-07-01,6.87
1990-08-01,4.66
1990-09-01,2.01
1990-10-01,-2.48
1990-11-01,-4.08
1990-12-01,-14.21
1991-01-01,-20.52
1991-02-01,-16.07
1991-03-01,-14.78
1991-04-01,-14.01
1991-05-01,-3.95
1991-06-01,2.69
1991-07-01,6.79
1991-08-01,4.67
1991-09-01,2.45
1991-10-01,-1.79
1991-11-01,-8.08
1991-12-01,-8.6
1992-01-01,-13.51
1992-02-01,-26.07
1992-03-01,-19.99
1992-04-01,-11.98
1992-05-01,-4.88
1992-06-01,1.21
1992-07-01,4.71
1992-08-01,4.16
1992-09-01,1.74
1992-10-01,0.05
1992-11-01,-7.4
1992-12-01,-11.89
1993-01-01,-21.64
1993-02-01,-22.17
1993-03-01,-25.09
1993-04-01,-12.58
1993-05-01,-3.63
1993-06-01,3.27
1993-07-01,6.95
1993-08-01,5.4
1993-09-01,3.31
1993-10-01,0.44
1993-11-01,-7.89
1993-12-01,-12.95
1994-01-01,-17.99
1994-02-01,-17.5
1994-03-01,-21.08
1994-04-01,-9.04
1994-05-01,1.17
1994-06-01,2.62
1994-07-01,6.38
1994-08-01,5.81
1994-09-01,2.2
1994-10-01,-2.32
1994-11-01,-6.11
1994-12-01,-12.55
1995-01-01,-21.11
1995-02-01,-21.65
1995-03-01,-22.7
1995-04-01,-6.95
1995-05-01,1.45
1995-06-01,5.33
1995-07-01,7.4
1995-08-01,5.09
1995-09-01,3.83
1995-10-01,-3.49
1995-11-01,-2.3
1995-12-01,-7.71
1996-01-01,-12.38
1996-02-01,-15.31
1996-03-01,-16.34
1996-04-01,-8.91
1996-05-01,-1.68
1996-06-01,1.51
1996-07-01,5.43
1996-08-01,5.0
1996-09-01,2.15
1996-10-01,-2.87
1996-11-01,-6.11
1996-12-01,-5.94
1997-01-01,-8.37
1997-02-01,-17.79
1997-03-01,-16.85
1997-04-01,-10.0
1997-05-01,-0.75
1997-06-01,6.17
1997-07-01,4.43
1997-08-01,4.99
1997-09-01,2.49
1997-10-01,-1.38
1997-11-01,-4.8
1997-12-01,-6.58
1998-01-01,-8.72
1998-02-01,-19.16
1998-03-01,-16.84
1998-04-01,-5.89
1998-05-01,-0.06
1998-06-01,4.55
1998-07-01,7.35
1998-08-01,6.25
1998-09-01,3.82
1998-10-01,-1.78
1998-11-01,-4.48
1998-12-01,-5.17
1999-01-01,-11.5
1999-02-01,-17.83
1999-03-01,-16.61
1999-04-01,-5.95
1999-05-01,-4.06
1999-06-01,2.87
1999-07-01,7.8
1999-08-01,6.88
1999-09-01,2.36
1999-10-01,-2.19
1999-11-01,-6.69
1999-12-01,-7.6
2000-01-01,-11.77
2000-02-01,-15.93
2000-03-01,-15.39
2000-04-01,-3.61
2000-05-01,-1.61
2000-06-01,4.99
2000-07-01,6.79
2000-08-01,5.99
2000-09-01,3.89
2000-10-01,-1.91
2000-11-01,-3.61
2000-12-01,-5.82
2001-01-01,-13.32
2001-02-01,-15.35
2001-03-01,-11.85
2001-04-01,-5.3
2001-05-01,-1.72
2001-06-01,3.58
2001-07-01,7.18
2001-08-01,7.48
2001-09-01,3.98
2001-10-01,0.08
2001-11-01,-5.32
2001-12-01,-6.02
2002-01-01,-7.42
2002-02-01,-18.92
2002-03-01,-16.42
2002-04-01,-9.32
2002-05-01,1.28
2002-06-01,4.28
2002-07-01,6.38
2002-08-01,5.68
2002-09-01,
2002-10-01,-0.62
2002-11-01,-2.62
2002-12-01,-5.23
2003-01-01,-5.93
2003-02-01,-12.73
2003-03-01,-9.53
2003-04-01,-7.03
2003-05-01,0.07
2003-06-01,5.97
2003-07-01,6.57
2003-08-01,7.07
2003-09-01,4.27
2003-10-01,1.17
2003-11-01,-4.53
2003-12-01,-6.13
2004-01-01,-8.43
2004-02-01,-9.63
2004-03-01,-13.73
2004-04-01,-7.23
2004-05-01,1.47
2004-06-01,4.67
2004-07-01,5.87
2004-08-01,6.57
2004-09-01,3.17
2004-10-01,0.27
2004-11-01,-3.93
2004-12-01,-10.84
2005-01-01,-11.54
2005-02-01,-9.74
2005-03-01,-5.84
2005-04-01,-5.64
2005-05-01,-0.64
2005-06-01,5.26
2005-07-01,7.36
2005-08-01,6.96
2005-09-01,2.26
2005-10-01,-1.94
2005-11-01,-3.04
2005-12-01,-6.54
2006-01-01,-13.44
2006-02-01,-10.24
2006-03-01,-7.64
2006-04-01,-7.44
2006-05-01,0.56
2006-06-01,3.66
2006-07-01,6.56
2006-08-01,7.26
2006-09-01,4.36
2006-10-01,-0.54
2006-11-01,-6.24
2006-12-01,-8.45
2007-01-01,-9.45
2007-02-01,-6.25
2007-03-01,-11.05
2007-04-01,-8.35
2007-05-01,-0.85
2007-06-01,4.35
2007-07-01,8.15
2007-08-01,7.15
2007-09-01,2.65
2007-10-01,-2.15
2007-11-01,-5.05
2007-12-01,-9.55
2008-01-01,-15.15
2008-02-01,-16.85
2008-03-01,-12.95
2008-04-01,-5.95
2008-05-01,
2008-06-01,4.75
2008-07-01,
2008-08-01,6.25
2008-09-01,2.95
2008-10-01,-2.15
2008-11-01,-5.25
2008-12-01,-9.05
2009-01-01,-8.45
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,-0.38
2009-06-01,4.35
2009-07-01,7.95
2009-08-01,7.75
2009-09-01,2.65
2009-10-01,-1.95
2009-11-01,-6.95
2009-12-01,-3.96
2010-01-01,-6.56
