,Temperature_C
1979-01-01,-21.08
1979-02-01,-31.64
1979-03-01,-22.55
1979-04-01,-14.08
1979-05-01,-7.16
1979-06-01,1.2
1979-07-01,5.34
1979-08-01,3.84
1979-09-01,-1.27
1979-10-01,-10.87
1979-11-01,-18.36
1979-12-01,-24.03
1980-01-01,-16.56
1980-02-01,-21.38
1980-03-01,-19.61
1980-04-01,-17.78
1980-05-01,-6.53
1980-06-01,-0.75
1980-07-01,4.58
1980-08-01,1.48
1980-09-01,-3.29
1980-10-01,-12.59
1980-11-01,-13.71
1980-12-01,-21.29
1981-01-01,-25.3
1981-02-01,-27.15
1981-03-01,-22.77
1981-04-01,-18.35
1981-05-01,-5.71
1981-06-01,2.49
1981-07-01,5.57
1981-08-01,3.26
1981-09-01,-1.8
1981-10-01,-7.5
1981-11-01,-9.97
1981-12-01,-16.4
1982-01-01,-18.4
1982-02-01,-24.26
1982-03-01,-23.47
1982-04-01,-16.14
1982-05-01,-5.15
1982-06-01,3.65
1982-07-01,5.59
1982-08-01,1.71
1982-09-01,-5.09
1982-10-01,-12.64
1982-11-01,-19.76
1982-12-01,-24.55
1983-01-01,-31.83
1983-02-01,-29.98
1983-03-01,-26.44
1983-04-01,-19.76
1983-05-01,-7.75
1983-06-01,4.0
1983-07-01,5.66
1983-08-01,2.9
1983-09-01,-1.11
1983-10-01,-10.58
1983-11-01,-19.16
1983-12-01,-21.19
1984-01-01,-29.97
1984-02-01,-33.43
1984-03-01,-26.88
1984-04-01,-18.53
1984-05-01,-5.29
1984-06-01,3.64
1984-07-01,7.11
1984-08-01,4.96
1984-09-01,-1.82
1984-10-01,-9.22
1984-11-01,-19.37
1984-12-01,-26.97
1985-01-01,-21.91
1985-02-01,-27.04
1985-03-01,-24.82
1985-04-01,-15.83
1985-05-01,-3.68
1985-06-01,2.36
1985-07-01,5.65
1985-08-01,4.91
1985-09-01,-0.78
1985-10-01,-9.35
1985-11-01,-13.68
1985-12-01,-17.2
1986-01-01,-19.39
1986-02-01,-17.27
1986-03-01,-27.1
1986-04-01,-17.33
1986-05-01,-3.88
1986-06-01,-0.36
1986-07-01,2.82
1986-08-01,3.56
1986-09-01,-2.39
1986-10-01,-16.28
1986-11-01,-22.49
1986-12-01,-21.64
1987-01-01,-23.1
1987-02-01,-32.8
1987-03-01,-24.78
1987-04-01,-21.01
1987-05-01,-4.08
1987-06-01,4.09
1987-07-01,5.68
1987-08-01,5.46
1987-09-01,-2.99
1987-10-01,-11.54
1987-11-01,-15.17
1987-12-01,-21.83
1988-01-01,-25.74
1988-02-01,-18.49
1988-03-01,-22.47
1988-04-01,-15.31
1988-05-01,-2.93
1988-06-01,2.69
1988-07-01,8.5
1988-08-01,6.75
1988-09-01,0.15
1988-10-01,-6.69
1988-11-01,-12.56
1988-12-01,-24.23
1989-01-01,-29.5
1989-02-01,-30.66
1989-03-01,-27.76
1989-04-01,-13.75
1989-05-01,-6.55
1989-06-01,1.69
1989-07-01,6.35
1989-08-01,4.36
1989-09-01,-2.13
1989-10-01,-12.09
1989-11-01,-15.57
1989-12-01,-20.94
1990-01-01,-25.28
1990-02-01,-27.77
1990-03-01,-25.18
1990-04-01,-14.65
1990-05-01,-3.12
1990-06-01,5.46
1990-07-01,6.24
1990-08-01,5.26
1990-09-01,-0.66
1990-10-01,-14.86
1990-11-01,-20.1
1990-12-01,-23.44
1991-01-01,-26.81
1991-02-01,-21.51
1991-03-01,-22.13
1991-04-01,-20.32
1991-05-01,-6.27
1991-06-01,2.1
1991-07-01,5.37
1991-08-01,2.94
1991-09-01,-2.6
1991-10-01,-10.62
1991-11-01,-16.65
1991-12-01,-25.88
1992-01-01,-26.57
1992-02-01,-29.9
1992-03-01,-28.37
1992-04-01,-19.09
1992-05-01,-8.27
1992-06-01,1.41
1992-07-01,3.69
1992-08-01,1.98
1992-09-01,-2.44
1992-10-01,-5.8
1992-11-01,-21.45
1992-12-01,-23.47
1993-01-01,-29.18
1993-02-01,-27.89
1993-03-01,-28.75
1993-04-01,-17.2
1993-05-01,-4.73
1993-06-01,1.17
1993-07-01,5.38
1993-08-01,2.17
1993-09-01,-0.32
1993-10-01,-7.62
1993-11-01,-23.05
1993-12-01,-24.74
1994-01-01,-26.12
1994-02-01,-23.38
1994-03-01,-28.85
1994-04-01,-14.73
1994-05-01,-2.89
1994-06-01,2.14
1994-07-01,6.08
1994-08-01,4.46
1994-09-01,-2.38
1994-10-01,-11.82
1994-11-01,-16.51
1994-12-01,-25.1
1995-01-01,-27.68
1995-02-01,-29.97
1995-03-01,-27.55
1995-04-01,-12.29
1995-05-01,-3.27
1995-06-01,3.06
1995-07-01,5.31
1995-08-01,3.04
1995-09-01,-1.02
1995-10-01,-11.67
1995-11-01,-10.49
1995-12-01,-24.37
1996-01-01,-22.85
1996-02-01,-22.99
1996-03-01,-24.23
1996-04-01,-14.2
1996-05-01,-5.93
1996-06-01,0.3
1996-07-01,3.01
1996-08-01,0.76
1996-09-01,-4.23
1996-10-01,-12.78
1996-11-01,-15.06
1996-12-01,-13.22
1997-01-01,-24.17
1997-02-01,-26.41
1997-03-01,-23.27
1997-04-01,-17.62
1997-05-01,-3.76
1997-06-01,2.7
1997-07-01,3.72
1997-08-01,1.74
1997-09-01,-6.71
1997-10-01,-9.1
1997-11-01,-15.13
1997-12-01,-20.56
1998-01-01,-20.78
1998-02-01,-27.86
1998-03-01,-23.7
1998-04-01,-11.61
1998-05-01,-2.11
1998-06-01,4.94
1998-07-01,5.61
1998-08-01,2.4
1998-09-01,0.35
1998-10-01,-10.03
1998-11-01,-14.2
1998-12-01,-19.48
1999-01-01,-25.77
1999-02-01,-28.21
1999-03-01,-23.7
1999-04-01,-18.0
1999-05-01,-9.64
1999-06-01,2.18
1999-07-01,5.71
1999-08-01,5.57
1999-09-01,-0.72
1999-10-01,-11.44
1999-11-01,-14.57
1999-12-01,-22.65
2000-01-01,-24.78
2000-02-01,-19.65
2000-03-01,-21.76
2000-04-01,-10.44
2000-05-01,-5.8
2000-06-01,4.21
2000-07-01,7.6
2000-08-01,4.62
2000-09-01,-1.17
2000-10-01,-11.28
2000-11-01,-12.22
2000-12-01,-20.65
2001-01-01,-24.25
2001-02-01,-26.38
2001-03-01,-24.01
2001-04-01,-16.12
2001-05-01,-4.96
2001-06-01,2.28
2001-07-01,5.4
2001-08-01,4.85
2001-09-01,-0.41
2001-10-01,-7.8
2001-11-01,-17.02
2001-12-01,-18.07
2002-01-01,-23.42
2002-02-01,-29.13
2002-03-01,-26.24
2002-04-01,-19.12
2002-05-01,-3.22
2002-06-01,2.2
2002-07-01,4.82
2002-08-01,4.83
2002-09-01,1.78
2002-10-01,-6.33
2002-11-01,-15.07
2002-12-01,-14.43
2003-01-01,-19.7
2003-02-01,-25.14
2003-03-01,-18.86
2003-04-01,-15.21
2003-05-01,-3.27
2003-06-01,3.65
2003-07-01,6.18
2003-08-01,4.25
2003-09-01,-1.98
2003-10-01,-5.49
2003-11-01,-14.18
2003-12-01,-16.42
2004-01-01,-25.49
2004-02-01,-24.92
2004-03-01,-26.59
2004-04-01,-14.45
2004-05-01,-3.57
2004-06-01,1.3
2004-07-01,3.97
2004-08-01,5.15
2004-09-01,-0.76
2004-10-01,-3.06
2004-11-01,-14.37
2004-12-01,-24.32
2005-01-01,-23.59
2005-02-01,-20.98
2005-03-01,-18.6
2005-04-01,-17.28
2005-05-01,-4.88
2005-06-01,3.5
2005-07-01,5.47
2005-08-01,5.13
2005-09-01,-1.74
2005-10-01,-9.14
2005-11-01,-15.63
2005-12-01,-17.94
2006-01-01,-26.7
2006-02-01,-23.74
2006-03-01,-20.39
2006-04-01,-15.01
2006-05-01,-1.6
2006-06-01,1.54
2006-07-01,6.61
2006-08-01,5.76
2006-09-01,0.41
2006-10-01,-5.68
2006-11-01,-16.7
2006-12-01,-21.63
2007-01-01,-21.55
2007-02-01,-19.87
2007-03-01,-22.73
2007-04-01,-14.29
2007-05-01,-5.77
2007-06-01,3.08
2007-07-01,6.9
2007-08-01,6.46
2007-09-01,-0.84
2007-10-01,-9.05
2007-11-01,-16.83
2007-12-01,-20.4
2008-01-01,-25.31
2008-02-01,-25.14
2008-03-01,-24.05
2008-04-01,-15.26
2008-05-01,-4.53
2008-06-01,5.59
2008-07-01,6.34
2008-08-01,5.84
2008-09-01,-0.88
2008-10-01,-8.72
2008-11-01,-16.64
2008-12-01,-19.39
2009-01-01,-23.41
2009-02-01,-22.24
2009-03-01,-23.47
2009-04-01,-16.15
2009-05-01,-2.72
2009-06-01,2.9
2009-07-01,8.68
2009-08-01,6.93
2009-09-01,-2.35
2009-10-01,-10.5
2009-11-01,-18.03
2009-12-01,-14.71
2010-01-01,-25.28
2010-02-01,-17.31
2010-03-01,-20.61
2010-04-01,-13.29
2010-05-01,-1.89
2010-06-01,2.82
2010-07-01,6.58
2010-08-01,6.67
2010-09-01,-0.42
2010-10-01,-7.91
2010-11-01,-9.53
2010-12-01,-14.1
2011-01-01,-17.43
2011-02-01,-24.72
2011-03-01,-23.16
2011-04-01,-20.42
2011-05-01,-4.56
2011-06-01,3.74
2011-07-01,8.6
2011-08-01,6.17
2011-09-01,-2.34
2011-10-01,-9.89
2011-11-01,-14.44
2011-12-01,-21.99
2012-01-01,-24.77
2012-02-01,-24.19
2012-03-01,-27.88
2012-04-01,-15.22
2012-05-01,-3.97
2012-06-01,3.56
2012-07-01,7.46
2012-08-01,4.67
2012-09-01,0.86
2012-10-01,-7.42
2012-11-01,
2012-12-01,-17.9
2013-01-01,-21.19
2013-02-01,-23.54
2013-03-01,-17.08
2013-04-01,-13.73
2013-05-01,-7.44
2013-06-01,1.7
2013-07-01,4.46
2013-08-01,3.97
2013-09-01,-2.04
2013-10-01,-7.81
2013-11-01,-18.0
2013-12-01,-22.48
2014-01-01,-17.93
2014-02-01,-22.38
2014-03-01,-21.94
2014-04-01,-14.53
2014-05-01,-5.44
2014-06-01,3.43
2014-07-01,5.5
2014-08-01,5.25
2014-09-01,-1.23
2014-10-01,-8.85
2014-11-01,-14.92
2014-12-01,-21.71
2015-01-01,-23.06
2015-02-01,-30.79
2015-03-01,-22.28
2015-04-01,-17.86
