,Temperature_C
1979-01-01,-10.14
1979-02-01,-7.04
1979-03-01,-5.39
1979-04-01,-3.39
1979-05-01,-2.93
1979-06-01,1.77
1979-07-01,3.9
1979-08-01,5.48
1979-09-01,2.1
1979-10-01,1.31
1979-11-01,-2.31
1979-12-01,-1.38
1980-01-01,-3.31
1980-02-01,-4.88
1980-03-01,-3.02
1980-04-01,-3.0
1980-05-01,0.98
1980-06-01,2.67
1980-07-01,5.02
1980-08-01,5.21
1980-09-01,3.25
1980-10-01,-2.36
1980-11-01,-3.86
1980-12-01,-6.62
1981-01-01,-7.59
1981-02-01,-5.47
1981-03-01,-7.04
1981-04-01,-3.74
1981-05-01,-0.93
1981-06-01,0.52
1981-07-01,3.71
1981-08-01,4.65
1981-09-01,2.36
1981-10-01,-1.06
1981-11-01,-2.69
1981-12-01,-5.94
1982-01-01,-8.55
1982-02-01,-3.16
1982-03-01,-4.82
1982-04-01,-5.8
1982-05-01,-2.11
1982-06-01,0.56
1982-07-01,3.77
1982-08-01,4.64
1982-09-01,1.32
1982-10-01,1.0
1982-11-01,-3.29
1982-12-01,-4.4
1983-01-01,-3.91
1983-02-01,-4.82
1983-03-01,-5.59
1983-04-01,-3.48
1983-05-01,-0.06
1983-06-01,1.54
1983-07-01,4.49
1983-08-01,4.4
1983-09-01,2.16
1983-10-01,-1.51
1983-11-01,-5.23
1983-12-01,-4.59
1984-01-01,-3.46
1984-02-01,-1.2
1984-03-01,-3.42
1984-04-01,-0.58
1984-05-01,-0.64
1984-06-01,2.68
1984-07-01,4.59
1984-08-01,5.03
1984-09-01,3.22
1984-10-01,1.03
1984-11-01,-0.35
1984-12-01,0.34
1985-01-01,-3.22
1985-02-01,-5.83
1985-03-01,-4.58
1985-04-01,-6.09
1985-05-01,0.1
1985-06-01,1.89
1985-07-01,5.16
1985-08-01,4.91
1985-09-01,1.96
1985-10-01,0.0
1985-11-01,-3.42
1985-12-01,-7.25
1986-01-01,-6.28
1986-02-01,-5.67
1986-03-01,-5.18
1986-04-01,-3.66
1986-05-01,-0.55
1986-06-01,2.71
1986-07-01,3.59
1986-08-01,4.98
1986-09-01,2.55
1986-10-01,1.27
1986-11-01,-1.75
1986-12-01,-2.31
1987-01-01,-2.55
1987-02-01,-9.43
1987-03-01,-4.26
1987-04-01,-1.39
1987-05-01,0.19
1987-06-01,2.46
1987-07-01,5.38
1987-08-01,4.72
1987-09-01,3.52
1987-10-01,0.93
1987-11-01,-2.18
1987-12-01,-10.7
1988-01-01,-11.09
1988-02-01,-2.99
1988-03-01,-7.72
1988-04-01,-7.15
1988-05-01,-0.98
1988-06-01,1.77
1988-07-01,4.51
1988-08-01,5.76
1988-09-01,3.37
1988-10-01,-0.49
1988-11-01,-4.25
1988-12-01,-8.44
1989-01-01,-6.86
1989-02-01,-6.23
1989-03-01,-7.19
1989-04-01,-1.69
1989-05-01,-1.05
1989-06-01,1.55
1989-07-01,4.94
1989-08-01,5.72
1989-09-01,2.6
1989-10-01,0.28
1989-11-01,-0.87
1989-12-01,-6.79
1990-01-01,-1.55
