,Temperature_C
1979-01-01,-2.33
1979-02-01,-1.96
1979-03-01,0.37
1979-04-01,3.22
1979-05-01,6.77
1979-06-01,11.65
1979-07-01,14.28
1979-08-01,13.6
1979-09-01,7.96
1979-10-01,4.4
1979-11-01,2.4
1979-12-01,0.02
1980-01-01,-3.04
1980-02-01,-1.27
1980-03-01,-0.03
1980-04-01,4.47
1980-05-01,7.54
1980-06-01,13.64
1980-07-01,15.79
1980-08-01,14.96
1980-09-01,10.27
1980-10-01,3.6
1980-11-01,-0.38
1980-12-01,-3.01
1981-01-01,-2.37
1981-02-01,-0.79
1981-03-01,-3.43
1981-04-01,2.36
1981-05-01,9.84
1981-06-01,7.49
1981-07-01,12.08
1981-08-01,11.07
1981-09-01,10.0
1981-10-01,5.24
1981-11-01,0.39
1981-12-01,-4.99
1982-01-01,-3.62
1982-02-01,2.54
1982-03-01,2.28
1982-04-01,2.79
1982-05-01,6.43
1982-06-01,8.08
1982-07-01,12.55
1982-08-01,12.36
1982-09-01,8.47
1982-10-01,6.58
1982-11-01,2.33
1982-12-01,1.13
1983-01-01,0.12
1983-02-01,-0.18
1983-03-01,0.34
1983-04-01,5.24
1983-05-01,10.02
1983-06-01,9.33
1983-07-01,12.18
1983-08-01,10.17
1983-09-01,10.48
1983-10-01,4.31
1983-11-01,-0.4
1983-12-01,-0.79
1984-01-01,-2.28
1984-02-01,1.8
1984-03-01,-0.85
1984-04-01,4.53
1984-05-01,10.45
1984-06-01,10.9
1984-07-01,10.93
1984-08-01,11.37
1984-09-01,9.49
1984-10-01,6.63
1984-11-01,3.4
1984-12-01,3.35
1985-01-01,-3.26
1985-02-01,-4.61
1985-03-01,0.75
1985-04-01,0.55
1985-05-01,7.09
1985-06-01,11.18
1985-07-01,14.62
1985-08-01,14.11
1985-09-01,8.05
1985-10-01,6.75
1985-11-01,0.81
1985-12-01,-3.71
1986-01-01,-4.9
1986-02-01,-1.86
1986-03-01,2.83
1986-04-01,2.07
1986-05-01,9.34
1986-06-01,12.1
1986-07-01,13.03
1986-08-01,12.06
1986-09-01,7.26
1986-10-01,6.57
1986-11-01,3.49
1986-12-01,-2.99
1987-01-01,-3.92
1987-02-01,-4.15
1987-03-01,-0.76
1987-04-01,3.49
1987-05-01,6.92
1987-06-01,11.33
1987-07-01,12.31
