,Temperature_C
1979-01-01,-3.84
1979-02-01,-2.47
1979-03-01,-1.97
1979-04-01,0.19
1979-05-01,4.53
1979-06-01,9.03
1979-07-01,12.56
1979-08-01,11.51
1979-09-01,7.37
1979-10-01,3.01
1979-11-01,0.4
1979-12-01,-0.66
1980-01-01,-2.68
1980-02-01,-3.28
1980-03-01,-2.73
1980-04-01,2.44
1980-05-01,5.26
1980-06-01,10.97
1980-07-01,10.92
1980-08-01,11.67
1980-09-01,8.43
1980-10-01,2.51
1980-11-01,-1.55
1980-12-01,-3.02
1981-01-01,-3.89
1981-02-01,-2.28
1981-03-01,-6.0
1981-04-01,0.34
1981-05-01,4.02
1981-06-01,6.03
1981-07-01,10.6
1981-08-01,9.98
1981-09-01,7.75
1981-10-01,3.42
1981-11-01,-0.55
1981-12-01,-4.2
1982-01-01,-3.94
1982-02-01,0.57
1982-03-01,-0.41
1982-04-01,1.2
1982-05-01,4.38
1982-06-01,5.57
1982-07-01,11.78
1982-08-01,10.22
1982-09-01,6.61
1982-10-01,4.61
1982-11-01,1.16
1982-12-01,-0.97
1983-01-01,-1.57
1983-02-01,-1.43
1983-03-01,-1.16
1983-04-01,2.3
1983-05-01,6.78
1983-06-01,8.16
1983-07-01,10.98
1983-08-01,9.16
1983-09-01,8.51
1983-10-01,3.06
1983-11-01,-1.56
1983-12-01,-2.36
1984-01-01,-3.49
1984-02-01,0.51
1984-03-01,-2.06
1984-04-01,2.71
1984-05-01,7.22
1984-06-01,9.32
1984-07-01,9.24
1984-08-01,10.33
1984-09-01,7.31
1984-10-01,4.35
1984-11-01,1.19
1984-12-01,2.4
1985-01-01,-1.85
1985-02-01,-5.46
1985-03-01,-0.6
1985-04-01,-1.53
1985-05-01,3.96
1985-06-01,7.58
1985-07-01,12.75
1985-08-01,12.43
1985-09-01,7.01
1985-10-01,4.68
1985-11-01,-0.07
1985-12-01,-4.51
1986-01-01,-5.12
1986-02-01,-2.9
1986-03-01,0.1
1986-04-01,-0.65
1986-05-01,7.03
1986-06-01,9.72
1986-07-01,10.72
1986-08-01,9.71
1986-09-01,5.84
1986-10-01,4.57
1986-11-01,1.82
1986-12-01,-4.56
1987-01-01,-3.71
1987-02-01,-4.99
1987-03-01,-2.09
1987-04-01,0.81
1987-05-01,4.26
1987-06-01,6.69
1987-07-01,9.19
1987-08-01,9.15
1987-09-01,7.45
1987-10-01,7.15
1987-11-01,0.46
1987-12-01,-2.93
1988-01-01,-1.82
1988-02-01,-3.0
1988-03-01,-3.37
1988-04-01,-1.66
1988-05-01,4.65
1988-06-01,8.52
1988-07-01,12.6
1988-08-01,10.86
1988-09-01,8.56
1988-10-01,3.52
1988-11-01,0.02
1988-12-01,-2.07
1989-01-01,0.6
1989-02-01,-1.07
1989-03-01,0.36
1989-04-01,3.56
1989-05-01,5.66
1989-06-01,9.3
1989-07-01,9.76
1989-08-01,12.21
1989-09-01,7.99
1989-10-01,3.65
1989-11-01,2.2
1989-12-01,-2.33
1990-01-01,-0.4
1990-02-01,1.11
1990-03-01,-0.36
1990-04-01,2.47
1990-05-01,4.54
1990-06-01,9.95
1990-07-01,12.48
1990-08-01,12.44
1990-09-01,9.16
1990-10-01,5.62
1990-11-01,0.0
1990-12-01,1.8
1991-01-01,0.34
1991-02-01,-1.21
1991-03-01,-0.86
1991-04-01,2.2
1991-05-01,4.4
1991-06-01,9.92
1991-07-01,10.92
1991-08-01,11.41
1991-09-01,6.6
1991-10-01,4.84
1991-11-01,1.26
1991-12-01,1.11
1992-01-01,0.15
1992-02-01,0.3
1992-03-01,0.75
1992-04-01,0.51
1992-05-01,5.91
1992-06-01,10.11
1992-07-01,10.43
1992-08-01,10.93
1992-09-01,9.19
1992-10-01,0.9
1992-11-01,0.25
1992-12-01,1.65
1993-01-01,0.06
1993-02-01,-0.61
1993-03-01,0.16
1993-04-01,1.34
1993-05-01,5.52
1993-06-01,6.66
1993-07-01,13.04
1993-08-01,11.91
1993-09-01,6.71
1993-10-01,2.17
1993-11-01,2.79
1993-12-01,-2.13
1994-01-01,-4.07
1994-02-01,-1.92
1994-03-01,-0.84
1994-04-01,2.96
1994-05-01,4.74
1994-06-01,7.94
1994-07-01,10.58
1994-08-01,11.42
1994-09-01,7.75
1994-10-01,3.09
1994-11-01,0.74
1994-12-01,1.24
