,Temperature_C
1979-01-01,-11.9
1979-02-01,-9.45
1979-03-01,-9.4
1979-04-01,-5.1
1979-05-01,-0.25
1979-06-01,9.5
1979-07-01,10.8
1979-08-01,9.39
1979-09-01,4.65
1979-10-01,0.65
1979-11-01,-4.6
1979-12-01,-9.1
1980-01-01,-10.14
1980-02-01,-8.05
1980-03-01,-7.4
1980-04-01,-3.0
1980-05-01,4.1
1980-06-01,8.39
1980-07-01,12.5
1980-08-01,11.65
1980-09-01,4.15
1980-10-01,-3.4
1980-11-01,-6.89
1980-12-01,-7.9
1981-01-01,-8.85
1981-02-01,-7.1
1981-03-01,-8.75
1981-04-01,-3.65
1981-05-01,3.55
1981-06-01,3.7
1981-07-01,10.7
1981-08-01,7.7
1981-09-01,4.94
1981-10-01,-0.94
1981-11-01,-6.3
1981-12-01,-9.75
1982-01-01,-9.8
1982-02-01,-7.15
1982-03-01,-6.3
1982-04-01,-4.65
1982-05-01,-0.55
1982-06-01,5.4
1982-07-01,10.85
1982-08-01,9.7
1982-09-01,2.65
1982-10-01,0.05
1982-11-01,-3.25
1982-12-01,-5.89
1983-01-01,-7.5
1983-02-01,-7.4
1983-03-01,-6.9
1983-04-01,-2.65
1983-05-01,1.9
1983-06-01,4.65
1983-07-01,10.85
1983-08-01,6.1
1983-09-01,4.8
1983-10-01,-2.4
1983-11-01,-4.15
1983-12-01,-5.75
1984-01-01,-10.14
1984-02-01,-5.3
1984-03-01,-7.9
1984-04-01,-0.6
1984-05-01,4.85
1984-06-01,6.74
1984-07-01,9.2
1984-08-01,9.5
1984-09-01,3.5
1984-10-01,1.35
1984-11-01,-1.5
1984-12-01,-4.44
1985-01-01,-10.6
1985-02-01,-11.35
1985-03-01,-7.5
1985-04-01,-5.65
1985-05-01,2.4
1985-06-01,8.39
1985-07-01,11.05
1985-08-01,8.89
1985-09-01,3.3
1985-10-01,-2.25
1985-11-01,-7.5
1985-12-01,-8.25
1986-01-01,-15.25
1986-02-01,-9.39
1986-03-01,-8.39
1986-04-01,-4.64
1986-05-01,4.5
1986-06-01,9.4
1986-07-01,9.3
1986-08-01,7.75
1986-09-01,1.55
1986-10-01,-0.15
1986-11-01,-2.09
1986-12-01,-10.45
1987-01-01,-12.79
1987-02-01,-11.45
1987-03-01,-8.39
1987-04-01,-3.85
1987-05-01,1.94
1987-06-01,5.6
1987-07-01,10.0
1987-08-01,7.6
1987-09-01,3.44
1987-10-01,3.5
1987-11-01,-3.15
1987-12-01,-6.6
1988-01-01,-7.9
1988-02-01,-11.4
1988-03-01,-8.1
1988-04-01,-5.7
1988-05-01,4.35
1988-06-01,8.89
1988-07-01,11.45
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
