,Temperature_C
1979-01-01,-34.9
1979-02-01,-40.9
1979-03-01,-32.09
1979-04-01,-19.29
1979-05-01,-10.8
1979-06-01,2.3
1979-07-01,13.0
1979-08-01,8.1
1979-09-01,2.9
1979-10-01,-9.6
1979-11-01,-19.7
1979-12-01,-25.0
1980-01-01,-28.8
1980-02-01,-25.0
1980-03-01,-27.5
1980-04-01,-15.7
1980-05-01,-8.0
1980-06-01,0.3
1980-07-01,8.1
1980-08-01,8.1
1980-09-01,2.8
1980-10-01,-2.7
1980-11-01,-27.5
1980-12-01,-23.3
1981-01-01,-18.12
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,-12.02
1981-06-01,0.5
1981-07-01,9.1
1981-08-01,11.7
1981-09-01,1.4
1981-10-01,-10.4
1981-11-01,-12.1
1981-12-01,-21.3
1982-01-01,-29.0
1982-02-01,-27.5
1982-03-01,-26.2
1982-04-01,-13.9
1982-05-01,-9.2
1982-06-01,1.6
1982-07-01,9.5
1982-08-01,9.2
1982-09-01,2.1
1982-10-01,-12.3
1982-11-01,-25.7
1982-12-01,-22.4
1983-01-01,-21.9
1983-02-01,-26.4
1983-03-01,-25.1
1983-04-01,-20.9
1983-05-01,-10.3
1983-06-01,-0.1
1983-07-01,8.8
1983-08-01,9.8
1983-09-01,3.7
1983-10-01,-5.7
1983-11-01,-19.0
1983-12-01,-24.6
1984-01-01,-19.1
1984-02-01,-21.8
1984-03-01,-23.4
1984-04-01,-26.1
1984-05-01,-9.7
1984-06-01,2.2
1984-07-01,12.4
1984-08-01,9.1
1984-09-01,5.1
1984-10-01,-9.3
1984-11-01,-24.3
1984-12-01,-23.0
1985-01-01,-32.0
1985-02-01,-29.3
1985-03-01,-23.9
1985-04-01,-19.1
1985-05-01,-10.6
1985-06-01,4.0
1985-07-01,9.6
1985-08-01,9.8
1985-09-01,4.2
1985-10-01,-4.6
1985-11-01,-16.29
1985-12-01,-23.1
1986-01-01,-26.8
1986-02-01,-28.4
1986-03-01,-24.2
1986-04-01,-21.4
1986-05-01,-7.9
1986-06-01,0.2
1986-07-01,13.4
1986-08-01,7.7
1986-09-01,1.8
1986-10-01,-4.6
1986-11-01,-11.7
1986-12-01,-30.2
1987-01-01,-35.0
1987-02-01,-26.9
1987-03-01,-27.3
1987-04-01,-19.6
1987-05-01,-6.7
1987-06-01,-1.2
1987-07-01,9.1
1987-08-01,8.7
1987-09-01,2.66
1987-10-01,
1987-11-01,
1987-12-01,-27.3
1988-01-01,-24.29
1988-02-01,-31.08
1988-03-01,-23.23
1988-04-01,-25.76
1988-05-01,
1988-06-01,3.41
1988-07-01,
1988-08-01,7.74
1988-09-01,3.12
1988-10-01,-8.68
1988-11-01,-20.39
1988-12-01,-19.88
1989-01-01,-31.21
1989-02-01,-25.85
1989-03-01,-21.05
1989-04-01,-20.34
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,-24.49
1989-12-01,-24.91
1990-01-01,-32.47
1990-02-01,
1990-03-01,
1990-04-01,-11.6
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,6.71
1990-09-01,2.49
1990-10-01,-9.3
1990-11-01,-25.57
1990-12-01,-27.67
1991-01-01,
1991-02-01,-30.87
1991-03-01,-27.2
1991-04-01,-15.7
1991-05-01,-7.3
1991-06-01,2.0
1991-07-01,10.5
1991-08-01,7.5
1991-09-01,6.8
1991-10-01,-8.2
1991-11-01,-17.29
1991-12-01,-28.9
1992-01-01,-27.9
1992-02-01,-26.8
1992-03-01,-24.3
1992-04-01,-22.7
1992-05-01,-4.5
1992-06-01,-1.1
1992-07-01,7.1
1992-08-01,8.0
1992-09-01,
1992-10-01,
1992-11-01,
1992-12-01,
1993-01-01,
1993-02-01,
1993-03-01,
1993-04-01,-20.43
1993-05-01,-7.2
1993-06-01,2.1
1993-07-01,5.6
1993-08-01,6.4
1993-09-01,3.1
1993-10-01,-12.0
1993-11-01,-14.6
1993-12-01,-24.5
1994-01-01,-29.0
1994-02-01,-36.0
1994-03-01,
1994-04-01,-17.5
1994-05-01,-8.7
1994-06-01,3.5
1994-07-01,6.2
1994-08-01,7.08
1994-09-01,2.5
1994-10-01,-4.3
1994-11-01,-19.29
1994-12-01,-21.0
1995-01-01,-20.1
1995-02-01,-23.2
1995-03-01,-19.4
1995-04-01,-9.5
1995-05-01,-7.7
1995-06-01,1.2
1995-07-01,8.0
1995-08-01,11.2
1995-09-01,2.2
1995-10-01,-6.8
1995-11-01,-20.1
1995-12-01,-26.9
1996-01-01,
1996-02-01,-28.1
1996-03-01,-15.3
1996-04-01,-20.2
1996-05-01,-9.7
1996-06-01,-0.5
1996-07-01,
1996-08-01,7.9
1996-09-01,1.5
1996-10-01,-7.0
1996-11-01,-12.6
1996-12-01,
1997-01-01,-31.0
1997-02-01,-30.8
1997-03-01,-21.3
1997-04-01,-11.1
1997-05-01,-5.8
1997-06-01,0.8
1997-07-01,9.1
1997-08-01,7.4
1997-09-01,6.4
1997-10-01,-3.1
1997-11-01,-21.1
1997-12-01,
1998-01-01,-26.1
1998-02-01,-35.4
1998-03-01,-20.8
1998-04-01,-20.6
1998-05-01,-9.2
1998-06-01,1.7
1998-07-01,10.4
1998-08-01,10.4
1998-09-01,-1.3
1998-10-01,-16.7
1998-11-01,-27.2
1998-12-01,-27.8
1999-01-01,-28.4
1999-02-01,-22.4
1999-03-01,-28.4
1999-04-01,-19.1
1999-05-01,-7.3
1999-06-01,1.2
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
