,Temperature_C
1979-01-01,-48.5
1979-02-01,-46.6
1979-03-01,-32.88
1979-04-01,-17.35
1979-05-01,-5.53
1979-06-01,11.25
1979-07-01,14.87
1979-08-01,8.39
1979-09-01,-0.52
1979-10-01,-16.35
1979-11-01,-32.33
1979-12-01,-35.7
1980-01-01,-42.05
1980-02-01,-34.06
1980-03-01,-28.32
1980-04-01,-15.17
1980-05-01,-2.47
1980-06-01,7.89
1980-07-01,15.58
1980-08-01,13.01
1980-09-01,2.27
1980-10-01,-8.92
1980-11-01,-35.22
1980-12-01,-35.29
1981-01-01,-26.8
1981-02-01,-34.58
1981-03-01,-26.98
1981-04-01,-13.75
1981-05-01,-3.23
1981-06-01,10.06
1981-07-01,12.36
1981-08-01,8.65
1981-09-01,-0.64
1981-10-01,-15.48
1981-11-01,-23.69
1981-12-01,-36.56
1982-01-01,-45.82
1982-02-01,-30.92
1982-03-01,-31.24
1982-04-01,-11.49
1982-05-01,-5.77
1982-06-01,5.73
1982-07-01,13.61
1982-08-01,10.42
1982-09-01,1.25
1982-10-01,-17.97
1982-11-01,-38.35
1982-12-01,-37.74
1983-01-01,-35.59
1983-02-01,-33.16
1983-03-01,-22.53
1983-04-01,-17.74
1983-05-01,-1.76
1983-06-01,9.95
1983-07-01,12.71
1983-08-01,12.77
1983-09-01,3.62
1983-10-01,-10.86
1983-11-01,-23.86
1983-12-01,-36.13
1984-01-01,-34.4
1984-02-01,-37.68
1984-03-01,-28.31
1984-04-01,-16.77
1984-05-01,-0.22
1984-06-01,8.9
1984-07-01,16.96
1984-08-01,8.51
1984-09-01,2.88
1984-10-01,-12.3
1984-11-01,-31.37
1984-12-01,-34.81
1985-01-01,-45.6
1985-02-01,-33.27
1985-03-01,-27.62
1985-04-01,-14.36
1985-05-01,-4.37
1985-06-01,10.27
1985-07-01,11.89
1985-08-01,8.71
1985-09-01,1.32
1985-10-01,-12.05
1985-11-01,-23.9
1985-12-01,-33.8
1986-01-01,-41.47
1986-02-01,-30.27
1986-03-01,-29.04
1986-04-01,-17.15
1986-05-01,-2.88
1986-06-01,8.15
1986-07-01,14.9
1986-08-01,8.75
1986-09-01,1.17
1986-10-01,-9.68
1986-11-01,-32.54
1986-12-01,-38.29
1987-01-01,-44.12
1987-02-01,-37.33
1987-03-01,-27.7
1987-04-01,-15.65
1987-05-01,-5.38
1987-06-01,5.09
1987-07-01,13.02
1987-08-01,8.91
1987-09-01,1.68
1987-10-01,-12.69
1987-11-01,-34.7
1987-12-01,-40.95
1988-01-01,-39.2
1988-02-01,-33.12
1988-03-01,-25.72
1988-04-01,-16.96
1988-05-01,-2.58
1988-06-01,13.67
1988-07-01,13.83
1988-08-01,8.63
1988-09-01,4.91
1988-10-01,-12.44
1988-11-01,-28.66
1988-12-01,-27.75
1989-01-01,-36.23
1989-02-01,-30.6
1989-03-01,-20.51
1989-04-01,-17.13
1989-05-01,-1.83
1989-06-01,4.42
1989-07-01,10.23
1989-08-01,8.03
1989-09-01,-0.33
1989-10-01,-15.18
1989-11-01,-35.92
1989-12-01,-32.66
1990-01-01,-39.98
1990-02-01,-36.51
1990-03-01,-16.34
1990-04-01,-10.51
1990-05-01,0.25
1990-06-01,13.63
1990-07-01,12.47
1990-08-01,9.71
1990-09-01,1.73
1990-10-01,-12.87
1990-11-01,-38.46
1990-12-01,-40.03
1991-01-01,-40.64
1991-02-01,-41.27
1991-03-01,-26.51
1991-04-01,-13.83
1991-05-01,-3.97
1991-06-01,5.45
1991-07-01,19.17
1991-08-01,11.21
1991-09-01,4.81
1991-10-01,-14.16
1991-11-01,-30.69
1991-12-01,-29.65
1992-01-01,-37.14
