,Temperature_C
1979-01-01,-19.24
1979-02-01,-15.27
1979-03-01,-7.36
1979-04-01,-1.89
1979-05-01,4.16
1979-06-01,11.12
1979-07-01,13.34
1979-08-01,11.42
1979-09-01,4.84
1979-10-01,-2.3
1979-11-01,-8.29
1979-12-01,-12.5
1980-01-01,-17.24
1980-02-01,-17.15
1980-03-01,-9.77
1980-04-01,0.67
1980-05-01,4.49
1980-06-01,13.24
1980-07-01,14.33
1980-08-01,11.73
1980-09-01,6.52
1980-10-01,-2.04
1980-11-01,-10.42
1980-12-01,-17.66
1981-01-01,-13.64
1981-02-01,-16.04
1981-03-01,-13.4
1981-04-01,-1.0
1981-05-01,6.28
1981-06-01,7.18
1981-07-01,12.83
1981-08-01,10.17
1981-09-01,5.51
1981-10-01,-1.07
1981-11-01,-10.48
1981-12-01,-19.38
1982-01-01,-14.6
1982-02-01,-7.54
1982-03-01,-4.98
1982-04-01,-0.9
1982-05-01,4.01
1982-06-01,6.43
1982-07-01,12.03
1982-08-01,10.34
1982-09-01,4.36
1982-10-01,0.21
1982-11-01,-6.57
1982-12-01,-11.27
1983-01-01,-13.81
1983-02-01,-10.02
1983-03-01,-7.9
1983-04-01,-0.71
1983-05-01,6.16
1983-06-01,8.71
1983-07-01,12.06
1983-08-01,8.86
1983-09-01,6.46
1983-10-01,-0.6
1983-11-01,-9.63
1983-12-01,-13.33
1984-01-01,-17.94
1984-02-01,-7.76
1984-03-01,-9.62
1984-04-01,-0.24
1984-05-01,7.93
1984-06-01,10.32
1984-07-01,11.95
1984-08-01,9.91
1984-09-01,4.7
1984-10-01,-0.59
1984-11-01,-11.13
1984-12-01,-10.0
1985-01-01,-19.07
1985-02-01,-23.33
1985-03-01,-8.38
1985-04-01,-4.38
1985-05-01,3.31
1985-06-01,11.03
1985-07-01,12.57
1985-08-01,11.03
1985-09-01,5.63
1985-10-01,1.7
1985-11-01,-10.22
1985-12-01,-20.29
1986-01-01,-21.28
1986-02-01,-11.25
1986-03-01,-4.78
1986-04-01,-3.02
1986-05-01,5.91
1986-06-01,12.57
1986-07-01,12.46
1986-08-01,8.64
1986-09-01,3.5
1986-10-01,1.3
1986-11-01,-5.82
1986-12-01,-17.92
1987-01-01,-20.43
1987-02-01,-14.14
1987-03-01,-10.66
1987-04-01,-2.06
1987-05-01,3.34
1987-06-01,9.59
1987-07-01,11.61
1987-08-01,8.5
1987-09-01,4.94
1987-10-01,4.22
1987-11-01,-7.06
1987-12-01,-11.14
1988-01-01,-13.56
1988-02-01,-14.93
1988-03-01,-10.45
1988-04-01,-4.37
1988-05-01,4.63
1988-06-01,11.49
1988-07-01,14.8
1988-08-01,10.99
1988-09-01,6.78
1988-10-01,-0.39
1988-11-01,-8.08
1988-12-01,-11.85
1989-01-01,-6.76
1989-02-01,-7.41
1989-03-01,-5.14
1989-04-01,0.03
1989-05-01,5.04
1989-06-01,9.78
1989-07-01,10.74
1989-08-01,10.9
1989-09-01,6.44
1989-10-01,-1.92
1989-11-01,-3.56
1989-12-01,-11.7
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,-7.37
1991-02-01,-16.95
1991-03-01,-7.77
1991-04-01,-1.21
1991-05-01,3.4
1991-06-01,9.61
1991-07-01,13.47
1991-08-01,12.4
1991-09-01,3.93
1991-10-01,0.68
1991-11-01,-7.53
1991-12-01,-5.32
1992-01-01,-6.36
1992-02-01,-6.15
1992-03-01,-3.71
1992-04-01,-4.08
1992-05-01,5.79
1992-06-01,11.78
1992-07-01,11.24
1992-08-01,9.45
1992-09-01,6.84
1992-10-01,-7.01
1992-11-01,-10.58
1992-12-01,-6.5
1993-01-01,-11.72
1993-02-01,-7.06
1993-03-01,-5.45
1993-04-01,-2.17
1993-05-01,5.22
1993-06-01,8.17
1993-07-01,13.28
1993-08-01,10.38
1993-09-01,4.11
1993-10-01,-1.24
1993-11-01,-7.67
1993-12-01,-15.23
1994-01-01,-19.19
1994-02-01,-14.91
1994-03-01,-8.01
1994-04-01,0.55
1994-05-01,3.33
1994-06-01,8.09
1994-07-01,13.01
1994-08-01,11.11
1994-09-01,4.85
1994-10-01,-0.5
1994-11-01,-6.73
1994-12-01,-6.62
1995-01-01,-11.58
1995-02-01,-9.59
1995-03-01,-5.17
1995-04-01,-2.76
1995-05-01,3.04
1995-06-01,10.1
1995-07-01,11.17
1995-08-01,10.6
1995-09-01,5.37
1995-10-01,0.26
1995-11-01,-8.05
1995-12-01,-13.73
