,Temperature_C
1979-01-01,-16.91
1979-02-01,-12.94
1979-03-01,-7.75
1979-04-01,-2.83
1979-05-01,2.68
1979-06-01,10.25
1979-07-01,12.8
1979-08-01,10.65
1979-09-01,4.25
1979-10-01,-3.05
1979-11-01,-8.21
1979-12-01,-10.49
1980-01-01,-14.42
1980-02-01,-14.68
1980-03-01,-9.1
1980-04-01,-0.2
1980-05-01,3.72
1980-06-01,12.39
1980-07-01,13.37
1980-08-01,11.03
1980-09-01,5.8
1980-10-01,-2.48
1980-11-01,-9.89
1980-12-01,-14.52
1981-01-01,-12.33
1981-02-01,-14.34
1981-03-01,-12.67
1981-04-01,-1.78
1981-05-01,5.53
1981-06-01,6.25
1981-07-01,12.13
1981-08-01,9.26
1981-09-01,5.13
1981-10-01,
1981-11-01,
1981-12-01,
