,Temperature_C
1996-01-01,-9.15
1996-02-01,-14.67
1996-03-01,-8.46
1996-04-01,-4.34
1996-05-01,-1.29
1996-06-01,8.17
1996-07-01,11.48
1996-08-01,11.95
1996-09-01,4.15
1996-10-01,-0.06
1996-11-01,-12.65
1996-12-01,-12.06
1997-01-01,-9.32
1997-02-01,-11.71
1997-03-01,-8.57
1997-04-01,-7.64
1997-05-01,1.5
1997-06-01,9.8
1997-07-01,13.62
1997-08-01,11.19
1997-09-01,6.54
1997-10-01,-1.65
1997-11-01,-10.58
1997-12-01,-10.43
1998-01-01,-10.65
1998-02-01,-16.05
1998-03-01,-11.83
1998-04-01,-6.12
1998-05-01,1.37
1998-06-01,7.88
1998-07-01,13.34
1998-08-01,9.27
1998-09-01,4.52
1998-10-01,-2.38
1998-11-01,-13.83
1998-12-01,-11.19
1999-01-01,-16.03
1999-02-01,-14.94
1999-03-01,-9.25
1999-04-01,-2.8
1999-05-01,0.28
1999-06-01,10.82
1999-07-01,11.44
1999-08-01,7.53
1999-09-01,7.65
1999-10-01,-0.08
1999-11-01,-3.09
1999-12-01,-13.79
2000-01-01,-9.43
2000-02-01,-11.37
2000-03-01,-7.75
2000-04-01,-4.23
2000-05-01,3.62
2000-06-01,7.96
2000-07-01,12.15
2000-08-01,9.94
2000-09-01,6.06
2000-10-01,2.24
2000-11-01,-6.38
2000-12-01,-11.63
2001-01-01,-8.93
2001-02-01,-14.53
2001-03-01,-14.25
2001-04-01,-5.94
2001-05-01,2.4
2001-06-01,10.67
2001-07-01,11.57
2001-08-01,10.51
2001-09-01,7.24
2001-10-01,-0.52
2001-11-01,-6.82
2001-12-01,-10.6
2002-01-01,-12.98
2002-02-01,-11.42
2002-03-01,-10.11
2002-04-01,-1.4
2002-05-01,5.6
2002-06-01,11.8
2002-07-01,12.83
2002-08-01,12.45
2002-09-01,4.66
2002-10-01,-5.29
2002-11-01,-13.02
2002-12-01,-14.16
2003-01-01,-19.42
2003-02-01,-7.75
2003-03-01,-5.42
2003-04-01,-3.94
2003-05-01,4.16
2003-06-01,9.14
2003-07-01,15.29
2003-08-01,10.92
2003-09-01,5.03
2003-10-01,-2.01
2003-11-01,-7.48
2003-12-01,-11.19
2004-01-01,-16.92
2004-02-01,-12.46
2004-03-01,-7.88
2004-04-01,-1.88
2004-05-01,3.97
2004-06-01,8.0
2004-07-01,13.66
2004-08-01,10.8
2004-09-01,5.66
2004-10-01,-1.62
2004-11-01,-7.24
2004-12-01,-7.94
2005-01-01,-9.86
2005-02-01,-11.61
2005-03-01,-10.27
2005-04-01,-1.66
2005-05-01,1.68
2005-06-01,10.1
2005-07-01,13.66
2005-08-01,10.77
2005-09-01,5.4
2005-10-01,0.96
2005-11-01,-5.97
2005-12-01,-12.4
2006-01-01,-9.61
2006-02-01,-11.25
2006-03-01,-13.3
2006-04-01,-2.92
2006-05-01,4.68
2006-06-01,9.71
2006-07-01,11.78
2006-08-01,12.98
2006-09-01,5.86
2006-10-01,-3.62
2006-11-01,-7.48
2006-12-01,-6.4
2007-01-01,-14.01
2007-02-01,-18.05
2007-03-01,-5.05
2007-04-01,-2.08
2007-05-01,2.62
2007-06-01,9.51
2007-07-01,12.82
2007-08-01,10.57
2007-09-01,4.1
2007-10-01,1.6
2007-11-01,-8.18
2007-12-01,-6.55
2008-01-01,-9.33
2008-02-01,-9.1
2008-03-01,-12.25
2008-04-01,-4.09
2008-05-01,2.32
2008-06-01,8.92
2008-07-01,11.88
2008-08-01,8.46
2008-09-01,4.67
2008-10-01,-1.31
2008-11-01,-9.11
2008-12-01,-9.58
2009-01-01,-11.61
2009-02-01,-15.54
2009-03-01,-8.97
2009-04-01,-3.05
2009-05-01,5.94
2009-06-01,8.0
2009-07-01,11.8
2009-08-01,11.73
2009-09-01,6.27
2009-10-01,-3.89
2009-11-01,-6.22
2009-12-01,-14.7
2010-01-01,-14.58
2010-02-01,-18.53
2010-03-01,-10.56
2010-04-01,-3.01
2010-05-01,3.96
2010-06-01,7.0
2010-07-01,12.06
2010-08-01,9.38
2010-09-01,5.68
2010-10-01,-0.62
2010-11-01,-13.24
2010-12-01,-15.16
2011-01-01,-14.09
2011-02-01,-18.0
2011-03-01,-7.37
2011-04-01,-0.1
2011-05-01,3.95
2011-06-01,11.96
2011-07-01,13.48
2011-08-01,10.4
2011-09-01,7.5
2011-10-01,0.83
2011-11-01,-1.54
2011-12-01,-7.53
2012-01-01,-14.23
2012-02-01,-13.93
2012-03-01,-5.47
2012-04-01,-5.27
2012-05-01,1.96
2012-06-01,7.83
2012-07-01,11.04
2012-08-01,9.88
2012-09-01,4.31
2012-10-01,-1.67
2012-11-01,-6.45
2012-12-01,-17.06
2013-01-01,-11.42
2013-02-01,-11.79
2013-03-01,-13.12
2013-04-01,-3.94
2013-05-01,6.39
2013-06-01,11.95
2013-07-01,12.3
2013-08-01,11.52
2013-09-01,7.6
2013-10-01,-1.64
2013-11-01,-7.69
2013-12-01,-9.62
2014-01-01,-18.26
2014-02-01,-6.07
2014-03-01,-6.23
2014-04-01,-2.15
2014-05-01,2.08
2014-06-01,8.94
2014-07-01,16.42
2014-08-01,11.22
2014-09-01,5.77
2014-10-01,-0.97
2014-11-01,-9.2
2014-12-01,-10.29
2015-01-01,-15.47
2015-02-01,-9.1
2015-03-01,-5.17
2015-04-01,-1.97
2015-05-01,2.72
2015-06-01,7.45
2015-07-01,10.92
2015-08-01,11.84
2015-09-01,7.89
2015-10-01,-0.22
2015-11-01,-6.04
2015-12-01,-6.82
2016-01-01,-17.23
2016-02-01,-11.03
2016-03-01,-6.36
2016-04-01,-3.0
2016-05-01,5.54
2016-06-01,8.26
2016-07-01,13.36
2016-08-01,9.15
2016-09-01,7.82
2016-10-01,-0.39
2016-11-01,-9.5
2016-12-01,-6.3
2017-01-01,-9.53
