,Temperature_C
1979-01-01,-19.43
1979-02-01,-16.05
1979-03-01,-8.69
1979-04-01,-3.2
1979-05-01,3.46
1979-06-01,11.29
1979-07-01,14.41
1979-08-01,11.34
1979-09-01,5.19
1979-10-01,-5.41
1979-11-01,-8.87
1979-12-01,-10.79
1980-01-01,-20.41
1980-02-01,-19.85
1980-03-01,-11.79
1980-04-01,-1.6
1980-05-01,3.84
1980-06-01,14.38
1980-07-01,13.66
1980-08-01,10.93
1980-09-01,5.83
1980-10-01,-3.77
1980-11-01,-13.25
1980-12-01,-17.4
1981-01-01,-17.06
1981-02-01,-17.3
1981-03-01,-16.3
1981-04-01,-3.77
1981-05-01,4.49
1981-06-01,7.2
1981-07-01,13.07
1981-08-01,10.01
1981-09-01,5.21
1981-10-01,-1.62
1981-11-01,-10.55
1981-12-01,-21.67
1982-01-01,-17.14
1982-02-01,-10.14
1982-03-01,-7.25
1982-04-01,-2.96
1982-05-01,3.3
1982-06-01,6.2
1982-07-01,13.57
1982-08-01,10.29
1982-09-01,4.01
1982-10-01,-1.77
1982-11-01,-8.98
1982-12-01,-11.71
1983-01-01,-13.17
1983-02-01,-13.53
1983-03-01,-9.54
1983-04-01,-1.68
1983-05-01,5.06
1983-06-01,9.69
1983-07-01,12.97
1983-08-01,8.87
1983-09-01,5.9
1983-10-01,-2.41
1983-11-01,-13.17
1983-12-01,-17.83
1984-01-01,-17.63
1984-02-01,-8.1
1984-03-01,-11.13
1984-04-01,-2.81
1984-05-01,7.22
1984-06-01,10.87
1984-07-01,11.13
1984-08-01,9.67
1984-09-01,3.54
1984-10-01,-3.07
1984-11-01,-11.55
1984-12-01,-9.09
1985-01-01,-20.51
1985-02-01,-25.61
1985-03-01,-9.27
1985-04-01,-7.41
1985-05-01,1.26
1985-06-01,9.71
1985-07-01,14.04
1985-08-01,11.11
1985-09-01,5.19
1985-10-01,-0.16
1985-11-01,-10.71
1985-12-01,-20.48
1986-01-01,-20.64
1986-02-01,-13.31
1986-03-01,-6.53
1986-04-01,-4.35
1986-05-01,5.23
1986-06-01,13.2
1986-07-01,12.5
1986-08-01,8.39
1986-09-01,2.74
1986-10-01,0.34
1986-11-01,-6.41
1986-12-01,-20.43
1987-01-01,-20.39
1987-02-01,-15.36
1987-03-01,-12.65
1987-04-01,-4.91
1987-05-01,2.2
1987-06-01,9.04
1987-07-01,11.21
1987-08-01,7.9
1987-09-01,5.37
1987-10-01,3.91
1987-11-01,-8.76
1987-12-01,-15.33
1988-01-01,-14.53
1988-02-01,-15.44
1988-03-01,-11.31
1988-04-01,-5.94
1988-05-01,3.75
1988-06-01,12.0
1988-07-01,15.18
1988-08-01,10.53
1988-09-01,6.96
1988-10-01,-0.76
1988-11-01,-13.25
1988-12-01,-15.05
1989-01-01,-8.43
1989-02-01,-10.63
1989-03-01,-5.85
1989-04-01,0.1
1989-05-01,4.98
1989-06-01,11.2
1989-07-01,11.72
1989-08-01,11.38
1989-09-01,5.97
1989-10-01,-1.98
1989-11-01,-5.15
1989-12-01,-12.2
1990-01-01,-16.34
1990-02-01,-5.36
1990-03-01,-7.78
1990-04-01,-1.38
1990-05-01,3.9
1990-06-01,10.62
1990-07-01,13.06
1990-08-01,11.91
1990-09-01,5.56
1990-10-01,-0.05
1990-11-01,-9.77
1990-12-01,-6.17
1991-01-01,-10.79
1991-02-01,-17.55
1991-03-01,-10.02
1991-04-01,-2.71
1991-05-01,3.04
1991-06-01,10.3
1991-07-01,13.1
1991-08-01,11.78
1991-09-01,3.89
1991-10-01,-0.7
1991-11-01,-9.44
1991-12-01,-8.54
1992-01-01,-8.73
1992-02-01,-7.94
1992-03-01,-5.6
1992-04-01,-5.75
1992-05-01,5.17
1992-06-01,12.52
1992-07-01,10.96
1992-08-01,8.95
1992-09-01,7.09
1992-10-01,-8.69
1992-11-01,-11.03
1992-12-01,-6.92
1993-01-01,-10.83
1993-02-01,-9.16
1993-03-01,-9.2
1993-04-01,-3.56
1993-05-01,3.79
1993-06-01,6.99
1993-07-01,13.61
1993-08-01,10.68
1993-09-01,3.26
1993-10-01,-4.31
1993-11-01,-7.33
1993-12-01,-13.19
1994-01-01,-21.1
1994-02-01,-14.12
1994-03-01,-9.72
1994-04-01,-0.72
1994-05-01,2.63
1994-06-01,9.35
1994-07-01,13.65
1994-08-01,11.44
1994-09-01,4.66
1994-10-01,-1.59
1994-11-01,-9.68
1994-12-01,-7.95
1995-01-01,-10.88
1995-02-01,-10.47
1995-03-01,-5.46
1995-04-01,-4.7
1995-05-01,1.27
1995-06-01,10.94
1995-07-01,11.69
1995-08-01,10.73
1995-09-01,5.67
1995-10-01,-2.13
1995-11-01,-11.08
1995-12-01,-16.6
1996-01-01,-10.22
1996-02-01,-16.14
1996-03-01,-7.66
1996-04-01,-4.1
1996-05-01,0.21
1996-06-01,9.79
1996-07-01,12.66
1996-08-01,13.36
1996-09-01,5.01
1996-10-01,0.75
1996-11-01,-11.67
1996-12-01,-14.37
1997-01-01,-11.81
1997-02-01,-12.08
1997-03-01,-8.2
1997-04-01,-7.23
1997-05-01,2.97
1997-06-01,11.45
1997-07-01,15.81
1997-08-01,12.72
1997-09-01,7.13
1997-10-01,-1.17
1997-11-01,-9.85
1997-12-01,-10.45
1998-01-01,-12.82
1998-02-01,-18.35
1998-03-01,-11.74
1998-04-01,-5.01
1998-05-01,2.95
1998-06-01,8.82
1998-07-01,14.67
1998-08-01,10.24
1998-09-01,5.55
1998-10-01,-0.81
1998-11-01,-13.34
1998-12-01,-12.45
1999-01-01,-18.4
1999-02-01,-15.77
1999-03-01,-7.7
1999-04-01,-1.59
1999-05-01,1.96
1999-06-01,12.56
1999-07-01,13.43
1999-08-01,8.52
1999-09-01,7.91
1999-10-01,0.43
1999-11-01,-3.93
1999-12-01,-17.14
2000-01-01,-11.55
2000-02-01,-11.42
2000-03-01,-7.44
2000-04-01,-3.26
2000-05-01,4.66
2000-06-01,9.72
2000-07-01,14.18
2000-08-01,10.76
2000-09-01,6.24
2000-10-01,2.78
2000-11-01,-3.93
2000-12-01,-13.36
2001-01-01,-9.03
2001-02-01,-15.09
2001-03-01,-13.95
2001-04-01,-3.88
2001-05-01,3.68
2001-06-01,12.52
2001-07-01,12.88
2001-08-01,11.57
2001-09-01,7.97
2001-10-01,-0.88
2001-11-01,-8.76
2001-12-01,-11.45
2002-01-01,-15.53
2002-02-01,-11.42
2002-03-01,-8.42
2002-04-01,-0.02
2002-05-01,6.64
2002-06-01,13.27
2002-07-01,14.69
2002-08-01,13.23
2002-09-01,5.11
2002-10-01,-3.86
2002-11-01,-12.89
2002-12-01,-15.73
2003-01-01,-21.18
2003-02-01,-7.95
2003-03-01,-5.7
2003-04-01,-2.57
2003-05-01,5.67
2003-06-01,10.11
2003-07-01,16.89
2003-08-01,11.58
2003-09-01,5.25
2003-10-01,-1.46
2003-11-01,-7.13
2003-12-01,-13.06
2004-01-01,-14.61
2004-02-01,-14.88
2004-03-01,-6.53
2004-04-01,-0.9
2004-05-01,4.73
2004-06-01,9.07
2004-07-01,15.13
2004-08-01,11.66
2004-09-01,6.62
2004-10-01,-0.65
2004-11-01,-10.65
2004-12-01,-9.27
2005-01-01,-9.12
2005-02-01,-12.01
2005-03-01,-9.93
2005-04-01,-0.93
2005-05-01,2.44
2005-06-01,11.28
2005-07-01,15.15
2005-08-01,12.05
2005-09-01,5.8
2005-10-01,0.76
2005-11-01,-5.19
2005-12-01,-14.23
2006-01-01,-11.81
2006-02-01,-12.89
2006-03-01,-13.05
2006-04-01,-0.44
2006-05-01,5.82
2006-06-01,11.41
2006-07-01,13.38
2006-08-01,13.72
2006-09-01,6.28
2006-10-01,-3.07
2006-11-01,-6.17
2006-12-01,-7.67
2007-01-01,-16.67
2007-02-01,-18.02
2007-03-01,-3.67
2007-04-01,-1.51
2007-05-01,3.71
2007-06-01,10.85
2007-07-01,14.01
2007-08-01,12.05
2007-09-01,4.93
2007-10-01,1.78
2007-11-01,-8.28
2007-12-01,-6.21
2008-01-01,-10.35
2008-02-01,-10.06
2008-03-01,-10.46
2008-04-01,-3.39
2008-05-01,3.07
2008-06-01,10.0
2008-07-01,13.49
2008-08-01,9.58
2008-09-01,5.01
2008-10-01,-1.36
2008-11-01,-9.16
2008-12-01,-9.48
2009-01-01,-11.27
2009-02-01,-16.58
2009-03-01,-8.17
2009-04-01,-2.16
2009-05-01,
2009-06-01,
2009-07-01,12.55
2009-08-01,12.37
2009-09-01,7.3
2009-10-01,-3.21
2009-11-01,-5.0
2009-12-01,-13.23
2010-01-01,-15.77
2010-02-01,-19.86
2010-03-01,-11.17
2010-04-01,-0.88
2010-05-01,6.02
2010-06-01,8.89
2010-07-01,13.68
2010-08-01,10.27
2010-09-01,6.18
2010-10-01,0.09
2010-11-01,-13.68
2010-12-01,-15.85
2011-01-01,-15.71
2011-02-01,-20.2
2011-03-01,-7.59
2011-04-01,0.93
2011-05-01,5.34
2011-06-01,12.62
2011-07-01,14.88
2011-08-01,11.23
2011-09-01,8.42
2011-10-01,1.17
2011-11-01,-2.72
2011-12-01,-6.17
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,-12.57
2013-02-01,-10.63
2013-03-01,-13.96
2013-04-01,-3.13
2013-05-01,7.35
2013-06-01,13.13
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,-0.78
2013-11-01,-8.57
2013-12-01,-11.04
2014-01-01,-19.54
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
