,Temperature_C
1979-01-01,-9.97
1979-02-01,
1979-03-01,-19.43
1979-04-01,-13.19
1979-05-01,-2.46
1979-06-01,3.24
1979-07-01,9.14
1979-08-01,10.85
1979-09-01,4.11
1979-10-01,-4.98
1979-11-01,-9.39
1979-12-01,-21.43
1980-01-01,-21.39
1980-02-01,-18.93
1980-03-01,-17.86
1980-04-01,-16.46
1980-05-01,-4.77
1980-06-01,4.54
1980-07-01,7.38
1980-08-01,4.7
1980-09-01,1.37
1980-10-01,-3.04
1980-11-01,-11.28
1980-12-01,-20.05
1981-01-01,-14.69
1981-02-01,-21.23
1981-03-01,-19.95
1981-04-01,-10.65
1981-05-01,-1.2
1981-06-01,4.15
1981-07-01,6.65
1981-08-01,4.89
1981-09-01,0.58
1981-10-01,-4.39
1981-11-01,-14.36
1981-12-01,-15.97
1982-01-01,-16.45
1982-02-01,-13.92
1982-03-01,-18.48
1982-04-01,-15.08
1982-05-01,-5.3
1982-06-01,3.02
1982-07-01,6.72
1982-08-01,
1982-09-01,2.49
1982-10-01,-7.47
1982-11-01,-13.22
1982-12-01,-15.87
1983-01-01,-23.09
1983-02-01,-22.97
1983-03-01,-22.09
1983-04-01,-12.42
1983-05-01,-3.46
1983-06-01,1.18
1983-07-01,5.66
1983-08-01,6.3
1983-09-01,0.98
1983-10-01,-7.11
1983-11-01,-11.55
1983-12-01,-7.83
1984-01-01,-18.92
1984-02-01,-32.69
1984-03-01,-24.24
1984-04-01,-21.48
1984-05-01,-6.8
1984-06-01,2.81
1984-07-01,6.6
1984-08-01,5.73
1984-09-01,4.49
1984-10-01,-3.02
1984-11-01,-18.03
1984-12-01,
