,Temperature_C
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,16.36
1992-08-01,11.18
1992-09-01,-1.43
1992-10-01,-10.49
1992-11-01,-16.55
1992-12-01,
1993-01-01,
1993-02-01,
1993-03-01,
1993-04-01,
1993-05-01,
1993-06-01,14.69
1993-07-01,17.16
1993-08-01,9.84
1993-09-01,2.5
1993-10-01,-3.02
1993-11-01,-14.39
1993-12-01,-14.89
1994-01-01,-18.94
1994-02-01,-18.93
1994-03-01,-21.43
1994-04-01,-9.04
1994-05-01,5.93
1994-06-01,12.13
1994-07-01,15.52
1994-08-01,10.86
1994-09-01,3.97
1994-10-01,-8.49
1994-11-01,-21.15
1994-12-01,-23.07
1995-01-01,
1995-02-01,-15.18
1995-03-01,-20.45
1995-04-01,-4.18
1995-05-01,8.29
1995-06-01,11.71
1995-07-01,15.44
1995-08-01,11.75
1995-09-01,8.53
1995-10-01,-4.83
1995-11-01,-20.96
1995-12-01,-22.68
1996-01-01,-21.21
1996-02-01,-20.64
1996-03-01,-12.05
1996-04-01,-9.02
1996-05-01,5.57
1996-06-01,12.02
1996-07-01,13.92
1996-08-01,9.11
1996-09-01,2.68
1996-10-01,-10.61
1996-11-01,-13.63
1996-12-01,-23.7
1997-01-01,-23.62
1997-02-01,-14.43
1997-03-01,-18.04
1997-04-01,-3.21
1997-05-01,6.75
1997-06-01,15.55
1997-07-01,15.25
1997-08-01,12.06
1997-09-01,7.89
1997-10-01,-11.61
1997-11-01,-10.08
1997-12-01,-21.57
1998-01-01,-21.23
1998-02-01,-17.45
1998-03-01,-8.75
1998-04-01,-1.37
1998-05-01,4.84
1998-06-01,12.6
1998-07-01,17.23
1998-08-01,9.07
1998-09-01,5.48
1998-10-01,-3.33
1998-11-01,-13.69
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,14.54
1999-07-01,14.67
1999-08-01,12.44
1999-09-01,6.53
1999-10-01,-6.55
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,14.27
2000-07-01,12.93
2000-08-01,9.0
2000-09-01,3.02
2000-10-01,-6.1
2000-11-01,-9.05
2000-12-01,-12.06
2001-01-01,-11.51
2001-02-01,-10.84
2001-03-01,-14.24
2001-04-01,-6.12
2001-05-01,-1.35
2001-06-01,12.64
2001-07-01,13.0
2001-08-01,10.75
2001-09-01,6.97
2001-10-01,-8.22
2001-11-01,-17.14
2001-12-01,
2002-01-01,
2002-02-01,-13.88
2002-03-01,-9.56
2002-04-01,-7.82
2002-05-01,6.19
2002-06-01,12.42
2002-07-01,14.42
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,11.53
2003-09-01,3.09
2003-10-01,-1.2
2003-11-01,-14.0
2003-12-01,-20.83
2004-01-01,-22.21
2004-02-01,-17.37
2004-03-01,-15.94
2004-04-01,-1.34
2004-05-01,7.33
2004-06-01,17.07
2004-07-01,17.2
2004-08-01,14.27
2004-09-01,2.16
2004-10-01,-4.05
2004-11-01,-13.68
2004-12-01,
2005-01-01,
2005-02-01,-18.72
2005-03-01,-10.77
2005-04-01,-9.24
2005-05-01,7.79
2005-06-01,15.43
2005-07-01,15.39
2005-08-01,13.48
2005-09-01,6.3
2005-10-01,-4.84
2005-11-01,-21.18
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,8.39
2006-10-01,-1.41
2006-11-01,-17.26
2006-12-01,-16.64
2007-01-01,-17.61
2007-02-01,-19.44
2007-03-01,-23.55
2007-04-01,-2.04
2007-05-01,5.84
2007-06-01,15.59
2007-07-01,
2007-08-01,
2007-09-01,7.46
2007-10-01,-5.99
2007-11-01,-10.34
2007-12-01,-18.28
2008-01-01,-24.31
2008-02-01,-22.64
2008-03-01,-14.48
2008-04-01,-7.67
2008-05-01,5.91
2008-06-01,12.75
2008-07-01,14.04
2008-08-01,10.69
2008-09-01,5.42
2008-10-01,-10.88
2008-11-01,-17.86
2008-12-01,-18.65
2009-01-01,-27.35
2009-02-01,-20.95
2009-03-01,-17.09
2009-04-01,-7.28
2009-05-01,5.67
2009-06-01,13.51
2009-07-01,16.86
2009-08-01,10.36
2009-09-01,5.16
2009-10-01,-2.42
2009-11-01,-21.22
2009-12-01,-15.5
2010-01-01,-26.73
2010-02-01,-17.43
2010-03-01,-18.51
2010-04-01,-4.08
2010-05-01,7.17
2010-06-01,15.03
2010-07-01,14.66
2010-08-01,13.3
2010-09-01,7.4
2010-10-01,-4.27
2010-11-01,-12.42
2010-12-01,-23.78
2011-01-01,-19.81
2011-02-01,-20.86
2011-03-01,-14.39
2011-04-01,-7.38
2011-05-01,5.71
2011-06-01,14.15
2011-07-01,14.12
2011-08-01,11.35
2011-09-01,7.18
2011-10-01,-4.22
2011-11-01,-22.85
2011-12-01,-18.26
2012-01-01,-34.21
2012-02-01,-15.75
2012-03-01,-20.07
2012-04-01,-4.14
2012-05-01,4.31
2012-06-01,16.16
2012-07-01,15.03
2012-08-01,11.09
2012-09-01,5.11
2012-10-01,-3.31
2012-11-01,-19.62
2012-12-01,-23.48
2013-01-01,-14.45
2013-02-01,-19.15
2013-03-01,-14.37
2013-04-01,-8.78
2013-05-01,1.76
2013-06-01,16.5
2013-07-01,15.95
2013-08-01,11.65
2013-09-01,3.65
2013-10-01,0.43
2013-11-01,-16.19
2013-12-01,-18.31
2014-01-01,-13.2
2014-02-01,-16.62
2014-03-01,-11.17
2014-04-01,-3.56
2014-05-01,5.29
2014-06-01,12.61
2014-07-01,13.37
2014-08-01,13.53
2014-09-01,6.08
2014-10-01,-4.31
2014-11-01,-11.23
2014-12-01,-15.52
2015-01-01,-21.01
2015-02-01,-13.95
2015-03-01,-16.32
2015-04-01,-4.29
2015-05-01,9.32
2015-06-01,13.5
2015-07-01,16.06
2015-08-01,10.25
2015-09-01,2.84
2015-10-01,-1.95
2015-11-01,-12.84
2015-12-01,-21.43
2016-01-01,-12.35
2016-02-01,-11.81
2016-03-01,-13.58
2016-04-01,0.49
2016-05-01,8.54
2016-06-01,13.72
2016-07-01,16.17
2016-08-01,13.04
2016-09-01,5.21
2016-10-01,-0.6
2016-11-01,-17.89
2016-12-01,-19.81
2017-01-01,-22.13
2017-02-01,-20.51
2017-03-01,-20.58
2017-04-01,-2.36
2017-05-01,6.11
2017-06-01,14.17
2017-07-01,17.11
2017-08-01,10.49
2017-09-01,6.21
2017-10-01,-2.38
2017-11-01,-12.96
2017-12-01,-8.9
2018-01-01,-22.51
2018-02-01,-14.48
2018-03-01,-10.17
2018-04-01,-4.21
2018-05-01,6.11
2018-06-01,13.17
2018-07-01,16.4
2018-08-01,11.01
2018-09-01,8.35
2018-10-01,-0.63
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,-3.01
2020-05-01,7.93
2020-06-01,14.17
