,Temperature_C
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,6.67
1990-06-01,11.03
1990-07-01,14.32
1990-08-01,13.29
1990-09-01,
1990-10-01,-6.32
1990-11-01,-16.74
1990-12-01,-21.89
1991-01-01,-19.06
1991-02-01,-19.3
1991-03-01,-18.24
1991-04-01,-6.66
1991-05-01,4.39
1991-06-01,13.91
1991-07-01,13.26
1991-08-01,10.25
1991-09-01,5.91
1991-10-01,
1991-11-01,-15.52
1991-12-01,-19.79
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,12.63
1992-07-01,14.57
1992-08-01,8.83
1992-09-01,-2.25
1992-10-01,-9.43
1992-11-01,
1992-12-01,
1993-01-01,
1993-02-01,
1993-03-01,
1993-04-01,
1993-05-01,
1993-06-01,13.06
1993-07-01,15.43
1993-08-01,8.44
1993-09-01,1.41
1993-10-01,-3.99
1993-11-01,-14.17
1993-12-01,-13.55
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,10.21
1994-07-01,12.86
1994-08-01,8.71
1994-09-01,2.18
1994-10-01,-9.51
1994-11-01,-18.12
1994-12-01,
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,9.76
1995-07-01,16.24
1995-08-01,14.01
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,8.3
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,13.46
1997-07-01,
1997-08-01,
1997-09-01,7.09
1997-10-01,-10.9
1997-11-01,-9.25
1997-12-01,-19.42
1998-01-01,-20.54
1998-02-01,-17.27
1998-03-01,-9.3
1998-04-01,-1.99
1998-05-01,3.0
1998-06-01,10.86
1998-07-01,16.2
1998-08-01,8.48
1998-09-01,5.23
1998-10-01,-2.8
1998-11-01,-10.57
1998-12-01,-16.87
1999-01-01,-25.67
1999-02-01,-23.24
1999-03-01,-18.49
1999-04-01,-9.93
1999-05-01,3.63
1999-06-01,12.95
1999-07-01,13.35
1999-08-01,11.56
1999-09-01,6.0
1999-10-01,-7.93
1999-11-01,-17.55
1999-12-01,-24.85
2000-01-01,-21.45
2000-02-01,-11.32
2000-03-01,-12.22
2000-04-01,-8.51
2000-05-01,-0.86
2000-06-01,12.14
2000-07-01,11.82
2000-08-01,7.77
2000-09-01,2.14
2000-10-01,-6.16
2000-11-01,-10.47
2000-12-01,-10.18
2001-01-01,-13.3
2001-02-01,-10.16
2001-03-01,-15.78
2001-04-01,-9.22
2001-05-01,-2.48
2001-06-01,10.48
2001-07-01,11.78
2001-08-01,9.74
2001-09-01,5.65
2001-10-01,-10.09
2001-11-01,-15.05
2001-12-01,-19.89
2002-01-01,-21.94
2002-02-01,-15.8
2002-03-01,-10.15
2002-04-01,-10.06
2002-05-01,4.74
2002-06-01,10.39
2002-07-01,12.51
2002-08-01,8.95
2002-09-01,5.18
2002-10-01,-2.18
2002-11-01,-7.63
2002-12-01,-13.27
2003-01-01,-14.73
2003-02-01,-14.96
2003-03-01,-15.73
2003-04-01,-4.43
2003-05-01,2.14
2003-06-01,13.7
2003-07-01,9.88
2003-08-01,9.93
2003-09-01,2.62
2003-10-01,-1.94
2003-11-01,-12.92
2003-12-01,-18.17
2004-01-01,-17.96
2004-02-01,-17.59
2004-03-01,-15.94
2004-04-01,-2.46
2004-05-01,6.28
2004-06-01,15.59
2004-07-01,15.68
2004-08-01,14.1
2004-09-01,2.03
2004-10-01,-3.72
2004-11-01,-11.42
2004-12-01,-17.47
2005-01-01,-17.3
2005-02-01,-18.64
2005-03-01,-11.58
2005-04-01,-9.33
2005-05-01,6.7
2005-06-01,14.06
2005-07-01,14.8
2005-08-01,12.68
2005-09-01,5.85
2005-10-01,-4.85
2005-11-01,-18.55
2005-12-01,-15.79
2006-01-01,-24.61
2006-02-01,-15.14
2006-03-01,-17.76
2006-04-01,-11.51
2006-05-01,3.85
2006-06-01,8.33
2006-07-01,11.66
2006-08-01,9.33
2006-09-01,7.27
2006-10-01,-1.73
2006-11-01,-12.73
2006-12-01,-16.47
2007-01-01,-17.75
2007-02-01,-18.11
2007-03-01,-22.5
2007-04-01,-5.0
2007-05-01,3.75
2007-06-01,14.04
2007-07-01,17.39
2007-08-01,14.68
2007-09-01,7.39
2007-10-01,-5.72
2007-11-01,-9.41
2007-12-01,-16.21
2008-01-01,-20.74
2008-02-01,-22.05
2008-03-01,-14.99
2008-04-01,-8.63
2008-05-01,4.21
2008-06-01,10.15
2008-07-01,12.3
2008-08-01,10.46
2008-09-01,5.37
2008-10-01,-8.45
2008-11-01,-16.22
2008-12-01,-15.08
2009-01-01,-21.95
2009-02-01,-22.49
2009-03-01,-16.71
2009-04-01,-8.61
2009-05-01,4.0
2009-06-01,11.89
2009-07-01,15.36
2009-08-01,9.63
2009-09-01,4.26
2009-10-01,-2.49
2009-11-01,-17.29
2009-12-01,-11.81
2010-01-01,-23.31
2010-02-01,-15.93
2010-03-01,-17.0
2010-04-01,-4.38
2010-05-01,5.99
2010-06-01,13.64
2010-07-01,13.13
2010-08-01,12.61
2010-09-01,7.32
2010-10-01,-4.38
2010-11-01,-11.21
2010-12-01,-20.11
2011-01-01,-14.15
2011-02-01,-18.06
2011-03-01,-13.85
2011-04-01,-8.93
2011-05-01,4.37
2011-06-01,13.2
2011-07-01,12.93
2011-08-01,10.63
2011-09-01,5.66
2011-10-01,-4.74
2011-11-01,-18.05
2011-12-01,-17.39
2012-01-01,-31.6
2012-02-01,-14.43
2012-03-01,-18.51
2012-04-01,-4.84
2012-05-01,3.21
2012-06-01,14.04
2012-07-01,13.48
2012-08-01,9.7
2012-09-01,4.02
2012-10-01,-3.36
2012-11-01,-16.78
2012-12-01,-21.1
2013-01-01,-13.92
2013-02-01,-19.4
2013-03-01,-13.95
2013-04-01,-9.14
2013-05-01,-0.21
2013-06-01,14.1
2013-07-01,13.58
2013-08-01,10.86
2013-09-01,2.5
2013-10-01,-0.45
2013-11-01,-13.59
2013-12-01,-14.85
2014-01-01,-10.99
2014-02-01,-14.71
2014-03-01,-12.27
2014-04-01,-4.95
2014-05-01,3.04
2014-06-01,10.43
2014-07-01,12.0
2014-08-01,13.22
2014-09-01,5.5
2014-10-01,-4.88
2014-11-01,-8.45
2014-12-01,-14.76
2015-01-01,-18.0
2015-02-01,-13.26
2015-03-01,-16.48
2015-04-01,-5.92
2015-05-01,6.75
2015-06-01,10.63
2015-07-01,14.81
2015-08-01,9.01
2015-09-01,2.73
2015-10-01,-2.65
2015-11-01,-11.01
2015-12-01,-17.51
2016-01-01,-9.87
