,Temperature_C
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,5.57
1990-06-01,10.8
1990-07-01,13.67
1990-08-01,11.46
1990-09-01,0.14
1990-10-01,-10.01
1990-11-01,-21.89
1990-12-01,-29.18
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,-27.02
1992-01-01,-26.08
1992-02-01,-27.93
1992-03-01,-20.78
1992-04-01,-13.02
1992-05-01,-3.56
1992-06-01,11.25
1992-07-01,14.85
1992-08-01,9.7
1992-09-01,-4.16
1992-10-01,-11.73
1992-11-01,-18.53
1992-12-01,-24.35
1993-01-01,-24.24
1993-02-01,-20.33
1993-03-01,-21.32
1993-04-01,-9.36
1993-05-01,1.29
1993-06-01,11.5
1993-07-01,14.78
1993-08-01,7.36
1993-09-01,-0.2
1993-10-01,-7.2
1993-11-01,-19.2
1993-12-01,-19.32
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,9.78
1994-07-01,13.52
1994-08-01,8.26
1994-09-01,-0.22
1994-10-01,-11.56
1994-11-01,-23.18
1994-12-01,
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,9.22
1995-07-01,12.7
1995-08-01,9.15
1995-09-01,5.05
1995-10-01,-8.75
1995-11-01,-20.45
1995-12-01,-25.48
1996-01-01,-25.63
1996-02-01,-26.3
1996-03-01,-18.89
1996-04-01,-14.6
1996-05-01,2.62
1996-06-01,9.36
1996-07-01,11.72
1996-08-01,6.41
1996-09-01,-0.45
1996-10-01,-15.56
1996-11-01,-17.32
1996-12-01,-24.33
1997-01-01,-27.39
1997-02-01,-22.67
1997-03-01,-24.84
1997-04-01,-9.54
1997-05-01,3.02
1997-06-01,12.84
1997-07-01,12.98
1997-08-01,9.99
1997-09-01,5.22
1997-10-01,-13.52
1997-11-01,-14.21
1997-12-01,-25.22
1998-01-01,-27.69
1998-02-01,-24.08
1998-03-01,-16.03
1998-04-01,-4.76
1998-05-01,1.16
1998-06-01,10.64
1998-07-01,16.99
1998-08-01,7.88
1998-09-01,3.09
1998-10-01,-5.85
1998-11-01,-17.79
1998-12-01,-22.9
1999-01-01,-30.14
1999-02-01,-27.66
1999-03-01,-24.98
1999-04-01,-12.04
1999-05-01,2.28
1999-06-01,12.56
1999-07-01,13.4
1999-08-01,10.15
1999-09-01,3.71
1999-10-01,-11.31
1999-11-01,-23.39
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,11.93
2000-07-01,10.98
2000-08-01,6.74
2000-09-01,0.24
2000-10-01,-10.55
2000-11-01,-15.84
2000-12-01,-18.53
2001-01-01,-19.46
2001-02-01,-15.71
2001-03-01,-23.17
2001-04-01,-12.62
2001-05-01,-5.75
2001-06-01,10.51
2001-07-01,10.51
2001-08-01,8.71
2001-09-01,4.0
2001-10-01,-12.44
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,9.01
2002-07-01,11.55
2002-08-01,7.08
2002-09-01,3.78
2002-10-01,-5.45
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,10.06
2003-08-01,8.95
2003-09-01,-0.29
2003-10-01,-4.32
2003-11-01,
2003-12-01,-24.33
2004-01-01,-25.16
2004-02-01,-24.71
2004-03-01,-22.55
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,15.19
2004-08-01,12.48
2004-09-01,-0.97
2004-10-01,-8.24
2004-11-01,-17.16
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,-17.16
2005-04-01,-14.04
2005-05-01,3.68
2005-06-01,12.51
2005-07-01,12.4
2005-08-01,11.06
2005-09-01,3.72
2005-10-01,-8.18
2005-11-01,-23.73
2005-12-01,
2006-01-01,
2006-02-01,-19.02
2006-03-01,-25.39
2006-04-01,-15.43
2006-05-01,1.84
2006-06-01,8.01
2006-07-01,11.26
2006-08-01,8.14
2006-09-01,5.81
2006-10-01,-3.82
2006-11-01,-17.62
2006-12-01,-19.35
2007-01-01,-23.37
2007-02-01,-26.45
2007-03-01,-30.29
2007-04-01,-9.45
2007-05-01,0.79
2007-06-01,13.62
2007-07-01,16.76
2007-08-01,12.81
2007-09-01,5.07
2007-10-01,-9.16
2007-11-01,
2007-12-01,
2008-01-01,-25.99
2008-02-01,-23.46
2008-03-01,-22.48
2008-04-01,-10.61
2008-05-01,1.57
2008-06-01,10.89
2008-07-01,12.09
2008-08-01,7.8
2008-09-01,2.38
2008-10-01,-11.74
2008-11-01,-21.06
2008-12-01,-20.64
2009-01-01,-28.18
2009-02-01,-25.93
2009-03-01,-23.3
2009-04-01,-11.42
2009-05-01,3.15
2009-06-01,11.1
2009-07-01,14.37
2009-08-01,7.81
2009-09-01,1.77
2009-10-01,-5.84
2009-11-01,-22.76
2009-12-01,-19.61
2010-01-01,-29.79
2010-02-01,-23.23
2010-03-01,-24.1
2010-04-01,-9.23
2010-05-01,2.52
2010-06-01,12.87
2010-07-01,12.12
2010-08-01,11.21
2010-09-01,4.8
2010-10-01,-8.42
2010-11-01,-14.03
2010-12-01,-25.47
2011-01-01,-20.01
2011-02-01,-22.87
2011-03-01,-19.68
2011-04-01,-14.41
2011-05-01,2.59
2011-06-01,10.83
2011-07-01,12.24
2011-08-01,9.19
2011-09-01,3.12
2011-10-01,-8.29
2011-11-01,-24.21
2011-12-01,-21.79
2012-01-01,-35.63
2012-02-01,-21.31
2012-03-01,-26.32
2012-04-01,-10.09
2012-05-01,0.92
2012-06-01,13.52
2012-07-01,13.24
2012-08-01,8.94
2012-09-01,2.01
2012-10-01,-5.31
2012-11-01,-22.61
2012-12-01,-28.18
2013-01-01,-20.83
2013-02-01,-25.93
2013-03-01,-19.26
2013-04-01,-14.74
2013-05-01,-2.0
2013-06-01,13.53
2013-07-01,13.33
2013-08-01,8.81
2013-09-01,0.86
2013-10-01,-1.9
2013-11-01,-18.37
2013-12-01,-19.22
2014-01-01,-18.35
2014-02-01,-21.73
2014-03-01,-19.35
2014-04-01,-10.65
2014-05-01,1.72
2014-06-01,9.5
2014-07-01,11.15
2014-08-01,10.74
2014-09-01,3.25
2014-10-01,-6.73
2014-11-01,-15.77
2014-12-01,-20.22
2015-01-01,-24.43
2015-02-01,-17.63
2015-03-01,-20.1
2015-04-01,-8.67
2015-05-01,5.44
2015-06-01,10.47
2015-07-01,13.5
2015-08-01,7.87
2015-09-01,0.01
2015-10-01,-5.89
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,-19.97
2016-04-01,-7.56
2016-05-01,
