,Temperature_C
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,14.87
1992-08-01,10.1
1992-09-01,-2.71
1992-10-01,
1992-11-01,
1992-12-01,
1993-01-01,
1993-02-01,
1993-03-01,
1993-04-01,
1993-05-01,
1993-06-01,13.89
1993-07-01,16.84
1993-08-01,9.25
1993-09-01,0.67
1993-10-01,-5.44
1993-11-01,
1993-12-01,
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,11.04
1994-07-01,14.47
1994-08-01,10.78
1994-09-01,2.8
1994-10-01,-9.82
1994-11-01,
1994-12-01,
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,11.49
1995-07-01,14.4
1995-08-01,9.77
1995-09-01,7.02
1995-10-01,-6.63
1995-11-01,-25.77
1995-12-01,-26.85
1996-01-01,
1996-02-01,-25.64
1996-03-01,-16.01
1996-04-01,-8.21
1996-05-01,4.61
1996-06-01,11.8
1996-07-01,13.42
1996-08-01,7.6
1996-09-01,1.43
1996-10-01,-14.57
1996-11-01,-19.5
1996-12-01,
1997-01-01,
1997-02-01,-16.4
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,14.2
1997-08-01,11.77
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,12.78
1999-07-01,13.19
1999-08-01,10.79
1999-09-01,3.78
1999-10-01,-10.45
1999-11-01,-24.04
1999-12-01,-30.59
2000-01-01,-28.26
2000-02-01,-15.63
2000-03-01,-13.51
2000-04-01,-7.6
2000-05-01,0.34
2000-06-01,12.77
2000-07-01,11.72
2000-08-01,8.08
2000-09-01,1.58
2000-10-01,-9.71
2000-11-01,-15.96
2000-12-01,-19.64
2001-01-01,-17.79
2001-02-01,-16.52
2001-03-01,-18.31
2001-04-01,-6.15
2001-05-01,-0.19
2001-06-01,12.38
2001-07-01,12.99
2001-08-01,9.83
2001-09-01,4.88
2001-10-01,-9.14
2001-11-01,-19.56
2001-12-01,
2002-01-01,-17.88
2002-02-01,-20.22
2002-03-01,-12.56
2002-04-01,-9.16
2002-05-01,5.23
2002-06-01,10.96
2002-07-01,12.59
2002-08-01,7.72
2002-09-01,4.3
2002-10-01,-4.77
2002-11-01,-11.05
2002-12-01,-16.06
2003-01-01,
2003-02-01,-16.54
2003-03-01,-18.09
2003-04-01,-4.58
2003-05-01,2.59
2003-06-01,14.19
2003-07-01,11.06
2003-08-01,9.89
2003-09-01,0.68
2003-10-01,-2.78
2003-11-01,-17.8
2003-12-01,
2004-01-01,-24.57
2004-02-01,-18.49
2004-03-01,-18.07
2004-04-01,-2.28
2004-05-01,6.28
2004-06-01,15.86
2004-07-01,15.27
2004-08-01,12.98
2004-09-01,0.13
2004-10-01,-4.53
2004-11-01,-16.1
2004-12-01,-19.79
2005-01-01,
2005-02-01,
2005-03-01,-12.03
2005-04-01,-7.65
2005-05-01,7.4
2005-06-01,14.04
2005-07-01,13.76
2005-08-01,10.83
2005-09-01,5.35
2005-10-01,-7.23
2005-11-01,-25.6
2005-12-01,-15.9
2006-01-01,
2006-02-01,-15.27
2006-03-01,-19.38
2006-04-01,-9.62
2006-05-01,6.28
2006-06-01,10.37
2006-07-01,12.96
2006-08-01,9.51
2006-09-01,6.79
2006-10-01,-3.86
2006-11-01,-24.62
2006-12-01,-18.69
2007-01-01,
2007-02-01,-22.54
2007-03-01,-22.96
2007-04-01,0.03
2007-05-01,6.25
2007-06-01,14.12
2007-07-01,16.36
2007-08-01,12.98
2007-09-01,5.47
2007-10-01,-8.42
2007-11-01,-12.9
2007-12-01,
2008-01-01,
2008-02-01,-22.59
2008-03-01,-12.8
2008-04-01,-7.06
2008-05-01,
2008-06-01,12.12
2008-07-01,12.53
2008-08-01,9.27
2008-09-01,3.58
2008-10-01,-14.83
2008-11-01,-19.76
2008-12-01,-23.68
2009-01-01,-29.55
2009-02-01,-22.48
2009-03-01,-20.11
2009-04-01,-7.35
2009-05-01,5.11
2009-06-01,12.71
2009-07-01,15.42
2009-08-01,8.38
2009-09-01,4.25
2009-10-01,-4.33
2009-11-01,-23.43
2009-12-01,-22.14
2010-01-01,-30.38
2010-02-01,-20.64
2010-03-01,-17.64
2010-04-01,-2.81
2010-05-01,7.33
2010-06-01,13.59
2010-07-01,13.09
2010-08-01,11.84
2010-09-01,4.77
2010-10-01,-6.28
2010-11-01,-12.85
2010-12-01,
2011-01-01,
2011-02-01,-23.5
2011-03-01,-16.88
2011-04-01,-6.77
2011-05-01,5.57
2011-06-01,12.5
2011-07-01,12.91
2011-08-01,9.44
2011-09-01,5.52
2011-10-01,-5.63
2011-11-01,-26.88
2011-12-01,-20.27
2012-01-01,-39.48
2012-02-01,-20.37
2012-03-01,-22.11
2012-04-01,-3.8
2012-05-01,4.75
2012-06-01,14.25
2012-07-01,13.17
2012-08-01,9.67
2012-09-01,3.39
2012-10-01,-7.48
2012-11-01,-25.15
2012-12-01,-30.18
2013-01-01,-22.19
2013-02-01,-22.48
2013-03-01,-17.0
2013-04-01,-10.85
2013-05-01,0.83
2013-06-01,15.28
2013-07-01,13.78
2013-08-01,10.72
2013-09-01,2.59
2013-10-01,0.0
2013-11-01,-19.44
2013-12-01,-24.02
2014-01-01,-16.69
2014-02-01,-21.07
2014-03-01,-12.55
2014-04-01,-4.24
2014-05-01,4.83
2014-06-01,11.22
2014-07-01,12.13
2014-08-01,12.58
2014-09-01,3.68
2014-10-01,-5.96
2014-11-01,-15.52
2014-12-01,-15.45
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,9.58
2015-06-01,12.64
2015-07-01,14.63
2015-08-01,9.56
2015-09-01,1.71
2015-10-01,-3.82
2015-11-01,-14.62
2015-12-01,-24.83
2016-01-01,-16.71
2016-02-01,-14.34
2016-03-01,-13.15
2016-04-01,-0.86
2016-05-01,7.83
2016-06-01,13.21
2016-07-01,14.79
2016-08-01,12.58
2016-09-01,4.01
2016-10-01,-6.22
2016-11-01,-22.32
2016-12-01,-24.02
2017-01-01,-25.18
2017-02-01,-21.14
2017-03-01,-21.03
2017-04-01,-3.22
2017-05-01,5.83
2017-06-01,13.68
2017-07-01,16.04
2017-08-01,9.64
2017-09-01,5.69
2017-10-01,-4.56
2017-11-01,-17.84
2017-12-01,
2018-01-01,-27.99
2018-02-01,-18.77
2018-03-01,
2018-04-01,-4.79
2018-05-01,6.02
2018-06-01,12.04
2018-07-01,14.54
2018-08-01,9.46
2018-09-01,5.6
2018-10-01,-2.86
2018-11-01,-13.23
2018-12-01,-19.81
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,-2.2
2019-05-01,6.94
2019-06-01,14.67
2019-07-01,15.79
2019-08-01,10.04
2019-09-01,5.0
2019-10-01,-4.87
2019-11-01,-16.2
2019-12-01,-27.87
2020-01-01,-31.97
2020-02-01,-28.63
2020-03-01,-17.54
2020-04-01,-4.22
2020-05-01,7.71
2020-06-01,13.28
2020-07-01,13.17
2020-08-01,11.85
2020-09-01,4.2
