,Temperature_C
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,13.57
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,12.3
1992-07-01,15.86
1992-08-01,11.47
1992-09-01,-0.95
1992-10-01,-11.06
1992-11-01,-17.22
1992-12-01,-20.58
1993-01-01,
1993-02-01,
1993-03-01,
1993-04-01,
1993-05-01,
1993-06-01,12.79
1993-07-01,16.94
1993-08-01,10.02
1993-09-01,2.73
1993-10-01,-2.75
1993-11-01,-13.17
1993-12-01,-13.72
1994-01-01,-17.21
1994-02-01,-19.86
1994-03-01,-22.13
1994-04-01,-11.92
1994-05-01,3.47
1994-06-01,10.94
1994-07-01,15.2
1994-08-01,10.99
1994-09-01,4.27
1994-10-01,-7.57
1994-11-01,-18.97
1994-12-01,-22.11
1995-01-01,-22.35
1995-02-01,-17.87
1995-03-01,-22.28
1995-04-01,-7.62
1995-05-01,6.46
1995-06-01,10.98
1995-07-01,14.77
1995-08-01,11.32
1995-09-01,8.41
1995-10-01,-4.16
1995-11-01,-18.37
1995-12-01,-19.38
1996-01-01,-22.43
1996-02-01,-21.92
1996-03-01,-13.59
1996-04-01,-10.86
1996-05-01,4.52
1996-06-01,11.01
1996-07-01,14.23
1996-08-01,9.56
1996-09-01,2.7
1996-10-01,-9.89
1996-11-01,-14.6
1996-12-01,-23.06
1997-01-01,-23.28
1997-02-01,-15.02
1997-03-01,-22.14
1997-04-01,-6.55
1997-05-01,5.42
1997-06-01,12.95
1997-07-01,14.89
1997-08-01,12.64
1997-09-01,8.68
1997-10-01,-9.7
1997-11-01,-10.88
1997-12-01,-21.98
1998-01-01,-23.81
1998-02-01,-18.5
1998-03-01,-10.18
1998-04-01,-2.09
1998-05-01,4.92
1998-06-01,12.6
1998-07-01,16.52
1998-08-01,9.66
1998-09-01,6.55
1998-10-01,-2.47
1998-11-01,-13.04
1998-12-01,-21.48
1999-01-01,-28.54
1999-02-01,-24.7
1999-03-01,-20.86
1999-04-01,-9.57
1999-05-01,2.23
1999-06-01,12.64
1999-07-01,14.53
1999-08-01,12.7
1999-09-01,6.69
1999-10-01,-6.93
1999-11-01,-18.91
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,12.32
2000-08-01,9.63
2000-09-01,3.8
2000-10-01,-5.11
2000-11-01,-10.03
2000-12-01,-11.62
2001-01-01,-13.08
2001-02-01,-11.46
2001-03-01,-17.57
2001-04-01,-8.19
2001-05-01,-4.8
2001-06-01,10.26
2001-07-01,13.34
2001-08-01,10.92
2001-09-01,7.4
2001-10-01,-8.42
2001-11-01,-17.06
2001-12-01,-21.26
2002-01-01,-20.12
2002-02-01,-16.52
2002-03-01,-11.3
2002-04-01,-9.64
2002-05-01,6.41
2002-06-01,11.31
2002-07-01,14.61
2002-08-01,10.05
2002-09-01,6.53
2002-10-01,-1.0
2002-11-01,-7.63
2002-12-01,-12.39
2003-01-01,-14.54
2003-02-01,-13.34
2003-03-01,-19.6
2003-04-01,-4.66
2003-05-01,3.42
2003-06-01,13.82
2003-07-01,11.92
2003-08-01,12.17
2003-09-01,3.35
2003-10-01,-1.42
2003-11-01,-12.96
2003-12-01,-21.38
2004-01-01,-21.52
2004-02-01,-18.3
2004-03-01,-17.37
2004-04-01,-2.92
2004-05-01,7.28
2004-06-01,15.98
2004-07-01,17.27
2004-08-01,15.81
2004-09-01,2.43
2004-10-01,-2.97
2004-11-01,-12.07
2004-12-01,-16.42
2005-01-01,-21.07
2005-02-01,-19.36
2005-03-01,-11.86
2005-04-01,-13.08
2005-05-01,5.92
2005-06-01,14.64
2005-07-01,15.21
2005-08-01,12.73
2005-09-01,7.01
2005-10-01,-3.64
2005-11-01,-20.54
2005-12-01,-17.71
2006-01-01,-29.68
2006-02-01,-14.58
2006-03-01,-19.47
2006-04-01,-14.21
2006-05-01,2.07
2006-06-01,9.73
2006-07-01,11.93
2006-08-01,7.66
2006-09-01,4.66
2006-10-01,-1.33
2006-11-01,-16.76
2006-12-01,-19.71
2007-01-01,-18.89
2007-02-01,-19.7
2007-03-01,-26.4
2007-04-01,-7.38
2007-05-01,-0.13
2007-06-01,16.49
2007-07-01,18.57
2007-08-01,16.97
2007-09-01,7.91
2007-10-01,-5.82
2007-11-01,-10.61
2007-12-01,-18.17
2008-01-01,-24.3
2008-02-01,-24.81
2008-03-01,-15.54
2008-04-01,-8.57
2008-05-01,4.93
2008-06-01,11.42
2008-07-01,13.49
2008-08-01,11.03
2008-09-01,5.99
2008-10-01,-11.55
2008-11-01,-18.07
2008-12-01,-17.89
2009-01-01,-28.06
2009-02-01,-21.59
2009-03-01,-18.65
2009-04-01,-9.41
2009-05-01,3.38
2009-06-01,12.91
2009-07-01,16.97
2009-08-01,10.75
2009-09-01,5.59
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,13.78
2010-08-01,13.7
2010-09-01,7.47
2010-10-01,-3.48
2010-11-01,-11.95
2010-12-01,-23.53
2011-01-01,-18.68
2011-02-01,-19.26
2011-03-01,-15.99
2011-04-01,-10.45
2011-05-01,3.21
2011-06-01,13.78
2011-07-01,13.85
2011-08-01,11.03
2011-09-01,6.83
2011-10-01,-4.69
2011-11-01,-21.42
2011-12-01,-18.13
2012-01-01,-34.7
2012-02-01,-17.02
2012-03-01,-23.75
2012-04-01,-8.94
2012-05-01,-0.79
2012-06-01,12.57
2012-07-01,14.34
2012-08-01,11.17
2012-09-01,4.86
2012-10-01,-3.57
2012-11-01,-20.31
2012-12-01,-23.93
2013-01-01,-15.09
2013-02-01,-22.46
2013-03-01,-17.12
2013-04-01,-13.27
2013-05-01,-1.27
2013-06-01,14.29
2013-07-01,15.11
2013-08-01,11.76
2013-09-01,3.59
2013-10-01,0.95
2013-11-01,-15.11
2013-12-01,-17.32
2014-01-01,-11.49
2014-02-01,-17.99
2014-03-01,-13.94
2014-04-01,-5.35
2014-05-01,5.23
2014-06-01,10.77
2014-07-01,13.26
2014-08-01,13.71
2014-09-01,6.41
2014-10-01,-5.65
2014-11-01,-9.82
2014-12-01,-14.7
2015-01-01,-21.05
2015-02-01,-14.42
2015-03-01,-19.75
2015-04-01,-7.41
2015-05-01,7.26
2015-06-01,12.56
2015-07-01,15.26
2015-08-01,10.05
2015-09-01,2.75
2015-10-01,-1.5
2015-11-01,-11.63
2015-12-01,-20.52
2016-01-01,-11.57
2016-02-01,-13.0
2016-03-01,-17.82
2016-04-01,-1.84
2016-05-01,7.22
2016-06-01,12.78
2016-07-01,15.04
2016-08-01,13.35
2016-09-01,5.27
2016-10-01,-0.77
2016-11-01,-15.77
2016-12-01,-17.74
2017-01-01,-20.49
2017-02-01,-20.98
2017-03-01,-23.62
2017-04-01,-4.03
2017-05-01,4.57
2017-06-01,13.24
2017-07-01,16.49
2017-08-01,10.49
2017-09-01,6.54
2017-10-01,-2.13
2017-11-01,-11.46
2017-12-01,-8.23
2018-01-01,-21.49
2018-02-01,-13.94
2018-03-01,-11.05
2018-04-01,-5.43
2018-05-01,5.4
2018-06-01,12.77
2018-07-01,16.07
2018-08-01,11.07
2018-09-01,8.15
2018-10-01,0.12
2018-11-01,-9.67
2018-12-01,-17.76
2019-01-01,-19.39
2019-02-01,-10.15
2019-03-01,-5.17
2019-04-01,-4.45
2019-05-01,7.08
2019-06-01,14.75
2019-07-01,16.78
2019-08-01,11.57
2019-09-01,7.44
2019-10-01,-1.97
2019-11-01,-13.19
2019-12-01,-20.25
2020-01-01,-24.85
2020-02-01,-26.54
2020-03-01,-15.51
2020-04-01,-5.27
2020-05-01,7.59
2020-06-01,12.21
2020-07-01,13.66
2020-08-01,13.07
2020-09-01,5.5
2020-10-01,
2020-11-01,
2020-12-01,
