,Temperature_C
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,-23.55
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,4.93
1982-07-01,
1982-08-01,
1982-09-01,2.06
1982-10-01,-13.08
1982-11-01,
1982-12-01,
1983-01-01,-30.19
1983-02-01,-25.82
1983-03-01,-27.91
1983-04-01,-15.91
1983-05-01,-8.33
1983-06-01,5.26
1983-07-01,8.53
1983-08-01,6.75
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,-16.37
1984-01-01,
1984-02-01,-36.58
1984-03-01,-26.44
1984-04-01,-21.09
1984-05-01,-4.53
1984-06-01,6.05
1984-07-01,10.86
1984-08-01,
1984-09-01,3.42
1984-10-01,-6.7
1984-11-01,-23.41
1984-12-01,-27.27
1985-01-01,
1985-02-01,-28.84
1985-03-01,-23.3
1985-04-01,-23.24
1985-05-01,-2.52
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,0.55
1985-10-01,-9.72
1985-11-01,-15.42
1985-12-01,-18.62
1986-01-01,
1986-02-01,-22.46
1986-03-01,-28.59
1986-04-01,-20.68
1986-05-01,-5.61
1986-06-01,5.48
1986-07-01,
1986-08-01,6.92
1986-09-01,4.36
1986-10-01,
1986-11-01,-19.07
1986-12-01,-22.68
1987-01-01,
1987-02-01,-30.58
1987-03-01,-26.15
1987-04-01,
1987-05-01,-4.12
1987-06-01,
1987-07-01,9.78
1987-08-01,10.2
1987-09-01,
1987-10-01,-2.59
1987-11-01,-17.83
1987-12-01,-21.26
1988-01-01,-20.66
1988-02-01,-24.81
1988-03-01,-25.48
1988-04-01,-16.69
1988-05-01,-6.36
1988-06-01,4.97
1988-07-01,10.36
1988-08-01,7.97
1988-09-01,1.34
1988-10-01,-12.44
1988-11-01,-26.12
1988-12-01,-20.47
1989-01-01,-31.51
